Team,Year,attend,n345,avgstar,pf,pa,confcham,natchamp,yrsrank,wksrank,finpoll,numbowls,expec
Louisville (KY),2005,1.57435032,1.570691054,4.924592362,5.153717135,4.258017033,0,0,0.696556395,2.542288423,2.382038443,0.323939703,0.104854332
Marshall (WV),2005,1.01792705,0.130890921,3.897843375,2.017962179,4.258017033,0,0,0,0,0,0,-0.735062543
Maryland,2005,2.013045776,2.617818423,5.856271998,2.670832296,4.108612926,0,0,0,0,0,0.755859308,0.441790009
Massachusetts,2005,0.359135107,0.130890921,4.753467531,2.56202061,2.181299953,0,0,0,0,0,0,-0.502406428
Memphis (TN),2005,1.53556849,0.261781842,3.916857245,3.224782699,4.123553337,0,0,0,0,0,0,-0.58453284
Miami (FL),2005,1.739806663,2.094254738,7.263298387,3.214890727,2.55481022,0,0,2.089669184,2.737849071,2.382038443,2.375557825,1.51261453
Miami (OH),2005,0.585221659,0,3.802774025,3.669921415,3.854625945,0,0,0,0,0,0,-0.874140725
Michigan,2005,4.258897728,2.879600265,6.616826803,3.412730156,3.645460196,0,0,2.991095106,2.542288423,2.382038443,2.699497528,1.934032913
Michigan St.,2005,2.886865689,2.225145659,5.228814284,3.679813386,4.721169762,0,0,2.171616995,1.173363888,0,0.863839209,0.532343045
Middle Tennessee St.,2005,0.557767195,0.261781842,3.954884986,2.077314008,3.077724592,0,0,0,0,0,0,-0.794655858
Minnesota,2005,1.882454682,1.439800133,5.076703323,4.24365576,5.199262903,0,0,1.679930128,1.368924536,0,0.215959802,0.089279438
Mississippi,2005,2.082123512,1.439800133,4.867550751,1.464011777,3.660400607,0,0,0,0,0,1.835658319,0.279677225
Mississippi St.,2005,1.831116755,1.570691054,4.867550751,1.513471635,3.869566356,0,0,0,0,0,0.755859308,0.0124089
Missouri,2005,2.049062961,2.356036581,5.380925245,3.650137472,5.229143724,0,0,0,0,0,1.079799011,0.283348545
Navy (MD),2005,1.26762828,0,3.802774025,4.055708302,4.67634853,0,0,0,0,0,0.539899506,-0.62378865
Nebraska,2005,2.975257543,3.272273029,6.331618751,2.928023555,3.764983481,0,0,2.499408239,0.391121296,2.382038443,3.563336737,1.4348168
Nevada,2005,0.578886013,0.130890921,3.897843375,4.055708302,5.722177275,1.760241406,0,0,0,0,0,-0.903260605
Nevada-Las Vegas,2005,0.76465482,0.654454606,4.126009817,2.047638094,5.692296454,0,0,0,0,0,0,-0.762782409
New Mexico,2005,1.472212034,0.392672763,4.030940466,3.224782699,4.885514279,0,0,0.040973906,0.195560648,0,0,-0.56539475
New Mexico St.,2005,0.482161825,0,3.802774025,1.958610351,6.947290948,0,0,0,0,0,0,-1.009057222
North Carolina,2005,1.983901807,1.439800133,4.753467531,1.958610351,4.302838264,0,0,0,0,0,0.863839209,0.012611773
North Carolina St.,2005,2.032206304,1.832472896,5.380925245,2.463100896,3.167367056,0,0,0,0,0,0.755859308,0.292547713
North Texas,2005,0.63149107,0.130890921,3.878829505,1.55303952,5.169382082,0,0,0,0,0,0,-0.877488469
Northern Illinois,2005,0.851510761,0.523563685,4.126009817,3.847976901,4.093672515,1.354031851,0,0,0,0,0.107979901,-0.66477459
Northwestern (IL),2005,1.248966924,1.308909211,4.753467531,3.83808493,6.080747131,0,0,1.393112789,1.368924536,0,0.215959802,-0.237859185
Notre Dame (IN),2005,3.102354433,1.701581975,5.704161037,4.352467446,4.392480728,0,0,3.154990728,2.737849071,2.382038443,2.375557825,1.199570139
Ohio,2005,0.692428461,0,3.802774025,1.899258522,5.019977975,0,0,0,0,0,0,-0.88593801
Ohio St.,2005,4.032427198,2.094254738,6.654854543,3.877652815,2.734095147,4.332901922,0,3.195964634,2.737849071,2.382038443,3.131417133,2.01489342
Oklahoma,2005,3.238129237,3.40316395,6.902034855,3.195106784,4.138493747,0,0,2.827199484,1.368924536,2.382038443,3.671316638,1.824050749
Oklahoma St.,2005,1.722566028,1.832472896,5.247828154,2.196017666,5.13950126,0,0,0,0,0,0.863839209,0.108226237
Oregon,2005,2.24374007,2.094254738,5.456980725,4.095276188,4.153434158,0,0,1.679930128,2.346727775,2.382038443,1.187778912,0.633604469
Oregon St.,2005,1.620005366,1.308909211,4.943606232,2.89834764,5.453249884,0,0,0,0,0,0.431919605,-0.12695179
Penn St.,2005,4.026360337,1.832472896,5.799230387,4.085384216,3.047843771,0.406209555,0,2.458434334,2.151167127,2.382038443,2.267577924,1.458468154
Pittsburgh (PA),2005,1.546358286,1.570691054,4.829523011,2.641156382,3.630519786,0,0,1.884799656,0.195560648,0,1.295758814,0.043711061
Purdue (IN),2005,2.418911069,2.094254738,5.704161037,3.264350584,4.616586888,0,0,1.638956223,0.97780324,0,0.431919605,0.503117481
Rice (TX),2005,0.386743163,0.130890921,3.897843375,2.383965124,6.678363556,0,0,0,0,0,0.647879407,-0.872077484
Rutgers (NJ),2005,1.274194313,0.785345527,4.411217869,3.402838185,4.586706067,0,0,0,0,0,0,-0.475961765
San Diego St. (CA),2005,1.390885384,1.701581975,4.867550751,3.195106784,4.855633458,0,0,0,0,0,0.107979901,-0.255253234
San Jose St. (CA),2005,0.480203534,0.130890921,3.954884986,2.453208924,5.333726599,0,0,0,0,0,0,-0.893710716
South Carolina,2005,3.066721226,2.748709344,5.628105556,2.809319897,4.168374569,0,0,1.434086695,0.391121296,0,0.215959802,0.570434846
South Florida,2005,1.492332509,1.047127369,4.62037044,2.730184125,3.227128698,0,0,0.36876515,0.195560648,0,0,-0.27051226
Southern California,2005,3.486985714,2.617818423,7.510478699,6.311077797,4.43730196,4.739111477,0,3.154990728,2.737849071,2.382038443,3.995256342,2.300951108
Southern Methodist (TX),2005,0.715351978,0.785345527,4.240093037,2.265261466,4.183314979,0,0,0,0,0,0.539899506,-0.582233538
Southern Mississippi,2005,1.069840946,0.916236448,4.373190128,3.511649871,4.063791694,0,0,0.696556395,0.195560648,0,0,-0.509763138
Stanford (CA),2005,1.672226444,1.17801829,5.342897505,2.660940325,5.034918386,0,0,0,0,0,1.835658319,0.309423176
Syracuse (NY),2005,1.545590329,0.916236448,4.563328829,1.503579663,4.407421139,0,0,1.434086695,0.195560648,0,1.079799011,-0.126789432
