"Coach","Year","Rating","Rank"
"Alfred B. Miles",1919,1499.14424861978,521
"Alfred B. Miles",1920,1490.25770639663,653
"Alfred B. Miles",1921,1494.22571499292,644
"Alfred B. Miles",1922,1478.22600820578,734
"Alfred B. Miles",1923,1483.66950615433,743
"Alfred Holt",1894,NA,NA
"Alfred Leo ""Al"" Buser",1917,1471.67595842441,637
"Alfred Leo ""Al"" Buser",1918,1478.75696881831,648
"Alfred Leo ""Al"" Buser",1919,1476.33968258731,666
"Alfred McCary",1904,NA,NA
"Alfred McCary",1905,1489.02925073439,325
"Alfred McCary",1906,1502.00871644661,78
"Allen H. ""Mal"" Elward",1937,1494.57533938699,894
"Allen H. ""Mal"" Elward",1938,1527.13116770545,27
"Allen H. ""Mal"" Elward",1939,1529.70017625229,32
"Allen H. ""Mal"" Elward",1940,1483.79268508199,978
"Allen H. ""Mal"" Elward",1941,1477.73792370486,1002
"Allen McCants",1897,NA,NA
"Allen Snyder",1922,1489.56701030552,696
"Allen W. Jeardeau",1896,1538.671774951,1
"Allen W. Jeardeau",1897,1519.51101012788,8
"Allison T.S. ""Pooley"" Hubert",1931,NA,NA
"Allison T.S. ""Pooley"" Hubert",1932,1499.44537039108,735
"Allison T.S. ""Pooley"" Hubert",1933,1498.71321204039,779
"Allison T.S. ""Pooley"" Hubert",1934,1508.89886540995,52
"Allison T.S. ""Pooley"" Hubert",1935,1494.71666760154,866
"Allison T.S. ""Pooley"" Hubert",1936,1533.72107050458,29
"Allyn McKeen",1937,1480.69930162229,949
"Allyn McKeen",1938,1516.67179308595,42
"Allyn McKeen",1939,1532.10990035911,30
"Allyn McKeen",1940,1586.12985564464,8
"Allyn McKeen",1941,1606.47480294217,4
"Allyn McKeen",1942,1598.4311856002,4
"Allyn McKeen",1944,1554.58925262641,13
"Allyn McKeen",1945,1535.82882971043,21
"Allyn McKeen",1946,1544.46857492624,20
"Allyn McKeen",1947,1530.54599623739,33
"Allyn McKeen",1948,1526.94879773907,39
"Alonaz L. ""Lon"" Stiner",1933,1488.68270283856,872
"Alonaz L. ""Lon"" Stiner",1934,1441.21365046332,947
"Alonaz L. ""Lon"" Stiner",1935,1436.96341493858,963
"Alonaz L. ""Lon"" Stiner",1936,1432.81842937724,973
"Alonaz L. ""Lon"" Stiner",1937,1432.82553810478,990
"Alonaz L. ""Lon"" Stiner",1938,1472.16641392935,970
"Alonaz L. ""Lon"" Stiner",1939,1522.43823177662,38
"Alonaz L. ""Lon"" Stiner",1940,1507.75745321645,57
"Alonaz L. ""Lon"" Stiner",1941,1546.58880551137,24
"Alonaz L. ""Lon"" Stiner",1942,1519.15796177271,42
"Alonaz L. ""Lon"" Stiner",1945,1499.27790697548,937
"Alonaz L. ""Lon"" Stiner",1946,1527.8932209812,32
"Alonaz L. ""Lon"" Stiner",1947,1499.20147116391,972
"Alonaz L. ""Lon"" Stiner",1948,1471.74263164533,1127
"Alonzo Edwin Branch",1899,1462.79040618002,195
"Alonzo Edwin Branch",1900,1462.61708644675,225
"Alpha Brumage",1913,1498.04703509637,429
"Alpha Brumage",1914,1488.97963160439,536
"Alpha P. Jamison",1898,1510.28332756296,24
"Alpha P. Jamison",1899,1505.65825732691,40
"Alpha P. Jamison",1900,1474.72623541869,220
"Alton ""Al"" Lavan",2003,1457.53909838951,1887
"Alton Johnson",1908,1481.46405191531,427
"Alton S. ""Al"" Kircher",1952,1475.67415362322,1192
"Alton S. ""Al"" Kircher",1953,1449.58613390004,1237
"Alton S. ""Al"" Kircher",1954,1451.21533747495,1243
"Alton S. ""Al"" Kircher",1955,1424.4856980845,1266
"Alvin G. Twitchell",1922,1468.29420468754,746
"Alvin G. Twitchell",1923,1441.47053158468,780
"Alvin G. Twitchell",1924,1439.41636626699,797
"Alvin H. Culver",1895,1463.92717125788,91
"Alvin H. Culver",1896,1474.57177198591,118
"Alvin Kletsch",1889,NA,NA
"Alvin N. ""Bo"" McMillin",1928,1461.75351316578,846
"Alvin N. ""Bo"" McMillin",1929,1468.30587575022,852
"Alvin N. ""Bo"" McMillin",1930,1489.28811585348,824
"Alvin N. ""Bo"" McMillin",1931,1502.4818358097,70
"Alvin N. ""Bo"" McMillin",1932,1474.08050938533,888
"Alvin N. ""Bo"" McMillin",1933,1493.28613883601,850
"Alvin N. ""Bo"" McMillin",1934,1494.35660612682,859
"Alvin N. ""Bo"" McMillin",1935,1483.67224512151,913
"Alvin N. ""Bo"" McMillin",1936,1493.11147111208,885
"Alvin N. ""Bo"" McMillin",1937,1516.60235297508,48
"Alvin N. ""Bo"" McMillin",1938,1454.79994168717,992
"Alvin N. ""Bo"" McMillin",1939,1446.36575078272,1016
"Alvin N. ""Bo"" McMillin",1940,1456.30761530123,1023
"Alvin N. ""Bo"" McMillin",1941,1450.44694008524,1039
"Alvin N. ""Bo"" McMillin",1942,1497.86495119758,942
"Alvin N. ""Bo"" McMillin",1943,1484.20736407025,1034
"Alvin N. ""Bo"" McMillin",1944,1518.57812397438,46
"Alvin N. ""Bo"" McMillin",1945,1577.67511217795,8
"Alvin N. ""Bo"" McMillin",1946,1576.9234014813,8
"Alvin N. ""Bo"" McMillin",1947,1546.75924314456,21
"Alvin Pierson",1945,1479.44219812521,1068
"Alvin Pierson",1949,1465.60244735517,1155
"Amerino ""Moody"" Sarno",1943,NA,NA
"Amerino ""Moody"" Sarno",1944,1509.7238225758,59
"Amerino ""Moody"" Sarno",1945,1507.29286693185,62
"Amos P. Foster",1904,1528.35990552887,16
"Amos P. Foster",1905,1510.65831072989,37
"Amos P. Foster",1906,1491.34023547417,339
"Amos P. Foster",1907,1493.50517660563,343
"Amos P. Foster",1908,1505.55664642673,55
"Ancil Delos Brown",1904,1489.479175806,298
"Ancil Delos Brown",1905,1475.41522354928,353
"Andrew ""Andy"" Kerr",1922,1484.23161656105,719
"Andrew ""Andy"" Kerr",1923,1492.23833268166,706
"Andrew A. Stone",1910,1463.28097163215,490
"Andrew L. ""Andy"" Smith",1913,1520.52685137964,21
"Andrew L. ""Andy"" Smith",1914,1533.72357468599,14
"Andrew L. ""Andy"" Smith",1915,1524.31517186046,22
"Andrew L. ""Andy"" Smith",1916,1500.77048793924,113
"Andrew L. ""Andy"" Smith",1917,1499.36410753834,463
"Andrew L. ""Andy"" Smith",1918,1519.94744351868,19
"Andrew L. ""Andy"" Smith",1919,1521.94319596689,24
"Andrew L. ""Andy"" Smith",1920,1572.4877166543,4
"Andrew L. ""Andy"" Smith",1921,1603.1306184935,2
"Andrew L. ""Andy"" Smith",1922,1615.36493160544,1
"Andrew L. ""Andy"" Smith",1923,1611.54152012553,1
"Andrew L. ""Andy"" Smith",1924,1585.41254126501,2
"Andrew L. ""Andy"" Smith",1925,1566.46804757912,7
"Andy Gustafson",1926,1519.1445677826,33
"Andy Gustafson",1927,1503.73163729071,69
"Andy Gustafson",1928,1530.31096422313,23
"Andy Gustafson",1929,1510.3919527871,51
"Andy Gustafson",1948,1465.73559773055,1138
"Andy Gustafson",1949,1487.94030596766,1101
"Andy Gustafson",1950,1537.8656996073,27
"Andy Gustafson",1951,1552.79751296409,16
"Andy Gustafson",1952,1479.38194330145,1184
"Andy Gustafson",1953,1489.02447234833,1168
"Andy Gustafson",1954,1534.33769693958,30
"Andy Gustafson",1955,1543.6621957648,24
"Andy Gustafson",1956,1595.59863252483,9
"Andy Gustafson",1957,1547.45949572368,25
"Andy Gustafson",1958,1474.58673777505,1270
"Andy Gustafson",1959,1507.3941417196,66
"Andy Gustafson",1960,1524.18972669545,44
"Andy Gustafson",1961,1544.56234764751,31
"Andy Gustafson",1962,1556.09325248306,21
"Andy Gustafson",1963,1498.487787788,1234
"Andy McCollum",1999,1430.8477969215,1854
"Andy McCollum",2000,1471.86913936778,1823
"Andy McCollum",2001,1515.5354962125,79
"Andy McCollum",2002,1488.56448230013,1815
"Andy McCollum",2003,1454.58340298087,1891
"Andy McCollum",2004,1450.07922000314,1904
"Andy McCollum",2005,1436.9453256938,1934
"Anson F. Harrold",1893,1490,45
"Anthony Cavallo",1955,1482.32764818995,1223
"Anthony Cavallo",1956,1451.65766220091,1274
"Anthony Cavallo",1957,1439.11835924749,1294
"Anthony Savage",1918,1499.42411821333,486
"Anthony Savage",1919,1480.51481276089,658
"Anthony W. Chez",1902,1490.28774368332,243
"Anthony W. Chez",1903,1473.20684370673,304
"Anton ""Andy"" Pilney",1954,1486.09121576997,1196
"Anton ""Andy"" Pilney",1955,1505.73328901113,72
"Anton ""Andy"" Pilney",1956,1525.53629360127,39
"Anton ""Andy"" Pilney",1957,1455.18905372311,1284
"Anton ""Andy"" Pilney",1958,1452.93303506383,1300
"Anton ""Andy"" Pilney",1959,1435.73399032998,1324
"Anton ""Andy"" Pilney",1960,1440.67869054132,1332
"Anton ""Andy"" Pilney",1961,1422.45403691727,1345
"Appleton A. Mason",1910,1444.94591055084,493
"Appleton A. Mason",1911,1461.63735052536,515
"Appleton A. Mason",1912,1465.2253745701,527
"Ara R. Parseghian",1951,1530.87644592298,35
"Ara R. Parseghian",1952,1549.11412101168,21
"Ara R. Parseghian",1953,1549.73021969593,21
"Ara R. Parseghian",1954,1586.82472115128,10
"Ara R. Parseghian",1955,1612.20780974145,7
"Ara R. Parseghian",1956,1576.9670823576,12
"Ara R. Parseghian",1957,1471.54661824191,1264
"Ara R. Parseghian",1958,1497.04309925447,1189
"Ara R. Parseghian",1959,1529.39344601273,38
"Ara R. Parseghian",1960,1532.99163390732,35
"Ara R. Parseghian",1961,1510.03145749193,64
"Ara R. Parseghian",1962,1552.44926223999,26
"Ara R. Parseghian",1963,1544.23432180369,31
"Ara R. Parseghian",1964,1599.09169908775,5
"Ara R. Parseghian",1965,1614.05084757316,5
"Ara R. Parseghian",1966,1660.14379713152,2
"Ara R. Parseghian",1967,1651.14855723882,2
"Ara R. Parseghian",1968,1621.85964618018,7
"Ara R. Parseghian",1969,1619.09233497755,9
"Ara R. Parseghian",1970,1654.27113053208,3
"Ara R. Parseghian",1971,1640.10950537075,7
"Ara R. Parseghian",1972,1623.59934630248,12
"Ara R. Parseghian",1973,1672.87719616949,3
"Ara R. Parseghian",1974,1670.85583339651,4
"Archer Reilly",1919,NA,NA
"Archie Eves",1899,NA,NA
"Archie Kodros",1951,1453.23535369888,1207
"Archie R. Web",1905,1464.2650678566,361
"Arnold Winkenhofer",1942,1502.33326628847,82
"Art Baker",1985,1442.42124748077,1667
"Art Baker",1986,1418.73860600397,1702
"Art Baker",1987,1450.86615740894,1690
"Art Baker",1988,1429.61462867668,1707
"Art Briles",2003,1502.45197591629,103
"Art Briles",2004,1476.9750138513,1873
"Art Briles",2005,1473.57947300164,1891
"Art Briles",2006,1529.76813260002,54
"Art Briles",2007,1523.78315949112,65
"Art Briles",2008,1484.65292193934,1907
"Art Briles",2009,1451.38877169371,1983
"Art Briles",2010,1491.7349418654,1909
"Art Briles",2011,1566.68508232822,37
"Art Briles",2012,1583.31233343155,27
"Art Briles",2013,1624.13026033707,18
"Art Briles",2014,1663.4991823356,5
"Art Briles",2015,1649.83800429151,9
"Art C. Jones",1895,1490.54709681587,74
"Art C. Jones",1896,1503.11435161223,44
"Art C. Jones",1901,1501.45992200354,74
"Art Powell",1916,NA,NA
"Art Powell",1917,NA,NA
"Art Powell",1918,NA,NA
"Art Powell",1919,NA,NA
"Art Powell",1920,NA,NA
"Art Powell",1921,NA,NA
"Arthur ""Pappy"" Lewis",1950,1453.04769742383,1180
"Arthur ""Pappy"" Lewis",1951,1429.88560895083,1217
"Arthur ""Pappy"" Lewis",1952,1472.82759236362,1196
"Arthur ""Pappy"" Lewis",1953,1502.69476350014,87
"Arthur ""Pappy"" Lewis",1954,1517.16849359533,42
"Arthur ""Pappy"" Lewis",1955,1517.92561668988,44
"Arthur ""Pappy"" Lewis",1956,1487.15354359122,1215
"Arthur ""Pappy"" Lewis",1957,1519.67425985205,49
"Arthur ""Pappy"" Lewis",1958,1500.34695015543,122
"Arthur ""Pappy"" Lewis",1959,1463.67015922724,1303
"Arthur B. Woodford",1887,NA,NA
"Arthur B. Woodford",1888,NA,NA
"Arthur Devlin",1902,1491.46636117801,238
"Arthur Devlin",1903,1487.20978138356,281
"Arthur E. Brides",1909,1510.56577989848,42
"Arthur E. Brides",1910,1508.3500295902,52
"Arthur E. Brides",1912,1514.56171247079,31
"Arthur E. Brides",1913,1510.92128435309,39
"Arthur E. Brides",1914,1508.19096326482,47
"Arthur E. Brides",1915,1506.14322244861,56
"Arthur F. ""Art"" Smith",1918,1479.39859796607,646
"Arthur H. Badenoch",1910,NA,NA
"Arthur H. Badenoch",1911,1510.31696094462,40
"Arthur H. Badenoch",1912,1517.31870517968,26
"Arthur H. Badenoch",1913,1531.41039456012,15
"Arthur H. Curtis",1902,1503.19329614888,60
"Arthur H. Curtis",1903,1497.33738337814,203
"Arthur H. Curtis",1904,1492.43285582203,284
"Arthur Hinaman",1911,1510,42
"Arthur Hinaman",1912,1487.5016734046,499
"Arthur J. Bergman",1920,1510.65021588481,40
"Arthur J. Bergman",1921,1497.92781090366,594
"Arthur J. Bergman",1922,1509.07265731076,47
"Arthur Jones",1921,NA,NA
"Arthur Jones",1922,NA,NA
"Arthur Jones",1923,1479.2692752094,752
"Arthur Jones",1924,1485.19115054789,754
"Arthur Jones",1925,1478.86669681023,790
"Arthur Jones",1926,1477.14333858968,804
"Arthur Jones",1927,1476.71766135849,816
"Arthur Jones",1928,1466.09429203376,841
"Arthur K. Smith",1904,1480.13051285681,322
"Arthur L ""Art"" Guepe",1946,1480.69458108167,1080
"Arthur L ""Art"" Guepe",1947,1485.77462454406,1090
"Arthur L ""Art"" Guepe",1948,1521.17049945502,42
"Arthur L ""Art"" Guepe",1949,1525.59498278714,37
"Arthur L ""Art"" Guepe",1950,1538.4057546622,26
"Arthur L ""Art"" Guepe",1951,1564.48393436223,13
"Arthur L ""Art"" Guepe",1952,1550.14516624868,20
"Arthur L ""Art"" Guepe",1953,1511.58759266027,52
"Arthur L ""Art"" Guepe",1954,1459.1877499555,1236
"Arthur L ""Art"" Guepe",1955,1517.376998144,45
"Arthur L ""Art"" Guepe",1956,1503.96315123629,72
"Arthur L ""Art"" Guepe",1957,1528.69378827844,38
"Arthur L ""Art"" Guepe",1958,1571.46580549258,12
"Arthur L ""Art"" Guepe",1959,1571.53282779389,14
"Arthur L ""Art"" Guepe",1960,1494.70201518628,1237
"Arthur L ""Art"" Guepe",1961,1444.22156322805,1342
"Arthur L ""Art"" Guepe",1962,1408.88957317125,1363
"Arthur L. Valpey",1950,NA,NA
"Arthur L. Valpey",1951,1489.56411266526,1140
"Arthur McFarland",1906,NA,NA
"Arthur McFarland",1907,NA,NA
"Arthur McFarland",1908,1499.57223602749,238
"Arthur P. Robinson",1901,NA,NA
"Arthur Parmalee",1906,1509.70544706381,39
"Arthur R. Hall",1907,1518.90329129871,26
"Arthur R. Hall",1908,1549.77049970381,5
"Arthur R. Hall",1909,1559.99408487858,4
"Arthur R. Hall",1910,1577.19482145557,2
"Arthur R. Hall",1911,1551.45896273082,7
"Arthur R. Hall",1912,1514.75163346916,30
"Arthur R. Hall, Justa Lindgren, Fred Lowenthal, & Clyde Matthews",1904,1517.37719110948,24
"Arthur R.T. ""Doc"" Hillebrand",1901,1480.77370344114,241
"Arthur R.T. ""Doc"" Hillebrand",1902,1467.79187326835,286
"Arthur St. L. ""Texas"" Mosse",1903,1489.99757945643,275
"Arthur St. L. ""Texas"" Mosse",1904,1502.63572764013,72
"Arthur St. L. ""Texas"" Mosse",1905,1491.38486435751,312
"Arthur St. L. ""Texas"" Mosse",1912,1499.392558561,351
"Arthur St. L. ""Texas"" Mosse",1913,1480.75737100377,530
"Arthur W. ""Slick"" Morton",1949,1439.18215526939,1175
"Arthur W. ""Slick"" Morton",1950,1456.53594694838,1178
"Arthur W. ""Slick"" Morton",1951,1471.1715008654,1186
"Arthur White",1902,1490.21583382825,244
"Augie Tammariello",1974,1463.57251740691,1496
"Augie Tammariello",1975,1456.00142616776,1519
"Augie Tammariello",1976,1517.27912820976,60
"Augie Tammariello",1977,1497.84922766582,1413
"Augie Tammariello",1978,1469.29623550163,1545
"Augie Tammariello",1979,1467.58793373609,1559
"Austin Jones",1909,NA,NA
"Austin Jones",1910,NA,NA
"Austin Jones",1911,NA,NA
"Authur L. Burkholder",1926,1509.92249361806,49
"B.B. O'Mara",1920,1489.71961275768,659
"B.C. ""Burr"" Chamberlain",1899,1500.47799877346,84
"B.C. ""Burr"" Chamberlain",1903,1471.80312141178,306
"B.L. ""Crook"" Smith",1929,NA,NA
"B.L. ""Crook"" Smith",1930,NA,NA
"B.L. ""Crook"" Smith",1931,NA,NA
"B.L. ""Crook"" Smith",1932,NA,NA
"B.L. ""Crook"" Smith",1933,1489.69368456612,869
"B.L. ""Crook"" Smith",1934,1482.49270642741,904
"B.L. ""Crook"" Smith",1935,1477.74356192977,924
"B.L. ""Crook"" Smith",1936,1465.28386713482,953
"B.L. ""Crook"" Smith",1937,1455.61902206699,974
"B.L. ""Crook"" Smith",1938,1457.38948601981,990
"B.L. ""Crook"" Smith",1939,1458.46957788992,1004
"B.L. ""Crook"" Smith",1940,1458.89577262902,1020
"B.L. ""Crook"" Smith",1941,1451.29711752626,1038
"B.N. Wilson",1897,NA,NA
"B.N. Wilson",1898,NA,NA
"Barney Cotton",2014,1529.10718718549,75
"Barry Alvarez",1990,1421.44314575168,1740
"Barry Alvarez",1990,1421.44314575168,1740
"Barry Alvarez",1990,1421.44314575168,1740
"Barry Alvarez",1991,1429.96348441242,1747
"Barry Alvarez",1991,1429.96348441242,1747
"Barry Alvarez",1991,1429.96348441242,1747
"Barry Alvarez",1992,1453.26620726934,1747
"Barry Alvarez",1992,1453.26620726934,1747
"Barry Alvarez",1992,1453.26620726934,1747
"Barry Alvarez",1993,1566.72473609156,27
