Coach,Year,Rating,Rank,Team,Win,Loss,Tie,Pct,PF,PA,Delta,Job_End_Category,Job_End_Performance,avg_team_elo,resid_elo,years_coached,Max,Num_Teams
Art Briles,2011,1566.68508232822,37,Baylor (TX),10,3,0,0.76923,589,484,105,0,NA,1500.3997998981704,66.28528243004962,8,12,2
Art Briles,2012,1583.31233343155,27,Baylor (TX),8,5,0,0.61538,578,484,94,0,NA,1500.3997998981704,82.9125335333797,9,12,2
Art Briles,2013,1624.13026033707,18,Baylor (TX),11,2,0,0.84615,681,306,375,0,NA,1500.3997998981704,123.73046043889963,10,12,2
Art Briles,2014,1663.4991823356,5,Baylor (TX),11,2,0,0.84615,627,332,295,0,NA,1500.3997998981704,163.09938243742954,11,12,2
Art Briles,2015,1649.83800429151,9,Baylor (TX),10,3,0,0.76923,625,368,257,0,NA,1500.3997998981704,149.43820439333967,12,12,2
Barney Cotton,2014,1529.10718718549,75,Nebraska,0,1,0,0,42,45,-3,6,0,1568.105483616495,-38.998296431004974,0,0,1
Barry Alvarez,1990,1421.44314575168,1740,Wisconsin,1,10,0,0.09091,133,285,-152,6,0,1521.294341703084,-99.85119595140395,0,25,1
Barry Alvarez,1990,1421.44314575168,1740,Wisconsin,1,10,0,0.09091,133,285,-152,1,0,1521.294341703084,-99.85119595140395,1,25,1
Barry Alvarez,1991,1429.96348441242,1747,Wisconsin,5,6,0,0.45455,172,194,-22,6,0,1521.294341703084,-91.33085729066397,2,25,1
Barry Alvarez,1991,1429.96348441242,1747,Wisconsin,5,6,0,0.45455,172,194,-22,1,0,1521.294341703084,-91.33085729066397,3,25,1
Barry Alvarez,1992,1453.26620726934,1747,Wisconsin,5,6,0,0.45455,212,199,13,6,0,1521.294341703084,-68.02813443374407,4,25,1
Barry Alvarez,1992,1453.26620726934,1747,Wisconsin,5,6,0,0.45455,212,199,13,1,0,1521.294341703084,-68.02813443374407,5,25,1
Barry Alvarez,1993,1566.72473609156,27,Wisconsin,10,1,1,0.875,354,195,159,6,0,1521.294341703084,45.43039438847609,6,25,1
Barry Alvarez,1993,1566.72473609156,27,Wisconsin,10,1,1,0.875,354,195,159,1,0,1521.294341703084,45.43039438847609,7,25,1
Barry Alvarez,1994,1576.18062936582,23,Wisconsin,8,3,1,0.70833,357,238,119,6,0,1521.294341703084,54.886287662736095,8,25,1
Barry Alvarez,1994,1576.18062936582,23,Wisconsin,8,3,1,0.70833,357,238,119,1,0,1521.294341703084,54.886287662736095,9,25,1
Barry Alvarez,1995,1554.55631694216,31,Wisconsin,4,5,2,0.45455,235,253,-18,6,0,1521.294341703084,33.26197523907604,10,25,1
Barry Alvarez,1995,1554.55631694216,31,Wisconsin,4,5,2,0.45455,235,253,-18,1,0,1521.294341703084,33.26197523907604,11,25,1
Barry Alvarez,1996,1561.2942652976,34,Wisconsin,8,5,0,0.61538,377,243,134,6,0,1521.294341703084,39.999923594516076,12,25,1
Barry Alvarez,1996,1561.2942652976,34,Wisconsin,8,5,0,0.61538,377,243,134,1,0,1521.294341703084,39.999923594516076,13,25,1
Barry Alvarez,1997,1567.39956887318,29,Wisconsin,8,5,0,0.61538,291,306,-15,6,0,1521.294341703084,46.105227170095986,14,25,1
Barry Alvarez,1997,1567.39956887318,29,Wisconsin,8,5,0,0.61538,291,306,-15,1,0,1521.294341703084,46.105227170095986,15,25,1
Barry Alvarez,1998,1630.58609708828,10,Wisconsin,11,1,0,0.91667,382,143,239,1,0,1521.294341703084,109.29175538519598,16,25,1
Barry Alvarez,1999,1654.20544315419,6,Wisconsin,10,2,0,0.83333,409,154,255,1,0,1521.294341703084,132.9111014511061,17,25,1
Barry Alvarez,2000,1634.75579807362,11,Wisconsin,9,4,0,0.69231,328,265,63,1,0,1521.294341703084,113.4614563705361,18,25,1
Barry Alvarez,2001,1558.04536693294,34,Wisconsin,5,7,0,0.41667,313,346,-33,1,0,1521.294341703084,36.75102522985594,19,25,1
Barry Alvarez,2002,1562.1099720641,36,Wisconsin,8,6,0,0.57143,372,322,50,1,0,1521.294341703084,40.81563036101602,20,25,1
Barry Alvarez,2003,1545.91140200519,52,Wisconsin,7,6,0,0.53846,355,306,49,1,0,1521.294341703084,24.617060302105983,21,25,1
Barry Alvarez,2004,1583.65549909295,23,Wisconsin,9,3,0,0.75,249,185,64,1,0,1521.294341703084,62.361157389866094,22,25,1
Barry Alvarez,2005,1614.39369311634,17,Wisconsin,10,3,0,0.76923,446,309,137,1,0,1521.294341703084,93.09935141325604,23,25,1
Barry Alvarez,2012,1538.11464051336,63,Wisconsin,0,1,0,0,14,20,-6,6,0,1521.294341703084,16.820298810275972,24,25,1
Barry Alvarez,2014,1596.83001464449,29,Wisconsin,1,0,0,1,34,31,3,6,0,1521.294341703084,75.53567294140589,25,25,1
Bill Blankenship,2011,1526.14485919009,65,Tulsa (OK),8,5,0,0.61538,430,355,75,5,1,1495.9739845927961,30.17087459729396,0,3,1
Bill Blankenship,2012,1564.57035348992,38,Tulsa (OK),11,3,0,0.78571,486,331,155,5,1,1495.9739845927961,68.59636889712397,1,3,1
Bill Blankenship,2013,1471.74246365329,2034,Tulsa (OK),3,9,0,0.25,253,407,-154,5,1,1495.9739845927961,-24.231520939506026,2,3,1
Bill Blankenship,2014,1417.1377987517,2104,Tulsa (OK),2,10,0,0.16667,296,471,-175,5,1,1495.9739845927961,-78.83618584109604,3,3,1
Bill Callahan,2004,1489.53349745629,1834,Nebraska,5,6,0,0.45455,275,298,-23,5,1,1568.105483616495,-78.571986160204915,0,3,1
Bill Callahan,2005,1540.05817095673,49,Nebraska,8,4,0,0.66667,296,252,44,5,1,1568.105483616495,-28.047312659764884,1,3,1
Bill Callahan,2006,1562.59120780569,34,Nebraska,9,5,0,0.64286,428,256,172,5,1,1568.105483616495,-5.514275810804975,2,3,1
Bill Callahan,2007,1513.46481612892,74,Nebraska,5,7,0,0.41667,401,455,-54,5,1,1568.105483616495,-54.640667487575,3,3,1
Bill Cubit,2005,1515.20989544971,76,Western Michigan,7,4,0,0.63636,354,342,12,5,1,1499.8452273096298,15.364668140080312,0,8,2
Bill Cubit,2006,1520.5570364357,68,Western Michigan,8,5,0,0.61538,299,259,40,5,1,1499.8452273096298,20.711809126070193,1,8,2
Bill Cubit,2007,1478.963832395,1911,Western Michigan,5,7,0,0.41667,323,347,-24,5,1,1499.8452273096298,-20.88139491462971,2,8,2
Bill Cubit,2008,1504.97528196938,97,Western Michigan,9,4,0,0.69231,372,324,48,5,1,1499.8452273096298,5.130054659750158,3,8,2
Bill Cubit,2009,1462.63626348351,1968,Western Michigan,5,7,0,0.41667,296,330,-34,5,1,1499.8452273096298,-37.20896382611977,4,8,2
Bill Cubit,2010,1457.77032824098,1993,Western Michigan,6,6,0,0.5,388,286,102,5,1,1499.8452273096298,-42.074899068649756,5,8,2
Bill Cubit,2011,1452.58531014096,2021,Western Michigan,7,6,0,0.53846,459,373,86,5,1,1499.8452273096298,-47.259917168669745,6,8,2
Bill Cubit,2012,1415.27189629284,2065,Western Michigan,4,8,0,0.33333,352,356,-4,5,1,1499.8452273096298,-84.57333101678978,7,8,2
Bill Cubit,2015,1440.58686611667,2096,Illinois,5,7,0,0.41667,272,279,-7,5,0,1496.2382049148646,-55.6513387981945,8,8,2
Bill Curry,1980,1430.05223960176,1603,Georgia Tech,1,9,1,0.13636,113,260,-147,NA,NA,1531.0374879400613,-100.98524833830129,0,19,4
Bill Curry,1981,1388.04052835651,1621,Georgia Tech,1,10,0,0.09091,124,309,-185,NA,NA,1531.0374879400613,-142.9969595835512,1,19,4
Bill Curry,1982,1443.51727213567,1622,Georgia Tech,6,5,0,0.54545,239,286,-47,NA,NA,1531.0374879400613,-87.52021580439123,2,19,4
Bill Curry,1983,1441.78585436174,1640,Georgia Tech,3,8,0,0.27273,222,313,-91,NA,NA,1531.0374879400613,-89.25163357832139,3,19,4
Bill Curry,1984,1476.11038371995,1610,Georgia Tech,6,4,1,0.59091,296,201,95,NA,NA,1531.0374879400613,-54.92710422011123,4,19,4
Bill Curry,1985,1530.52715553166,40,Georgia Tech,9,2,1,0.79167,252,132,120,NA,NA,1531.0374879400613,-0.510332408401382,5,19,4
Bill Curry,1986,1513.47922904106,61,Georgia Tech,5,5,1,0.5,282,211,71,NA,NA,1531.0374879400613,-17.558258899001203,6,19,4
Bill Curry,1987,1533.17000884837,40,Alabama,7,5,0,0.58333,268,213,55,NA,NA,1575.7584639135584,-42.588455065188555,7,19,4
Bill Curry,1988,1577.98583389675,22,Alabama,9,3,0,0.75,317,188,129,NA,NA,1575.7584639135584,2.2273699831914655,8,19,4
Bill Curry,1989,1616.15215672317,14,Alabama,10,2,0,0.83333,357,217,140,NA,NA,1575.7584639135584,40.39369280961159,9,19,4
Bill Curry,1990,1541.00448253252,45,Kentucky,4,7,0,0.36364,228,316,-88,NA,NA,1488.177948170961,52.82653436155897,10,19,4
Bill Curry,1991,1484.26906402292,1685,Kentucky,3,8,0,0.27273,190,268,-78,NA,NA,1488.177948170961,-3.9088841480408973,11,19,4
Bill Curry,1992,1456.66099108497,1740,Kentucky,4,7,0,0.36364,207,280,-73,NA,NA,1488.177948170961,-31.516957085990953,12,19,4
Bill Curry,1993,1472.10831547698,1735,Kentucky,6,6,0,0.5,220,209,11,NA,NA,1488.177948170961,-16.06963269398102,13,19,4
Bill Curry,1994,1412.3785973271,1793,Kentucky,1,10,0,0.09091,149,405,-256,NA,NA,1488.177948170961,-75.79935084386102,14,19,4
Bill Curry,1995,1432.79933930113,1797,Kentucky,4,7,0,0.36364,223,269,-46,NA,NA,1488.177948170961,-55.37860886983094,15,19,4
Bill Curry,1996,1447.61145030076,1797,Kentucky,4,7,0,0.36364,138,322,-184,NA,NA,1488.177948170961,-40.56649787020092,16,19,4
Bill Curry,2010,1474.58411258672,1966,Georgia St.,6,5,0,0.54545,302,286,16,1,0,1427.9934837156284,46.59062887109167,17,19,4
Bill Curry,2011,1458.01100285901,2015,Georgia St.,3,8,0,0.27273,249,343,-94,1,0,1427.9934837156284,30.017519143381605,18,19,4
Bill Curry,2012,1434.84637193134,2048,Georgia St.,1,10,0,0.09091,191,424,-233,1,0,1427.9934837156284,6.852888215711573,19,19,4
Bill Doba,2003,1574.98981342729,32,Washington St.,10,3,0,0.76923,394,257,137,5,1,1485.4547205921237,89.53509283516632,0,4,1
Bill Doba,2004,1535.91660510161,58,Washington St.,5,6,0,0.45455,275,307,-32,5,1,1485.4547205921237,50.461884509486254,1,4,1
Bill Doba,2005,1495.36850881699,1814,Washington St.,4,7,0,0.36364,368,346,22,5,1,1485.4547205921237,9.913788224866266,2,4,1
Bill Doba,2006,1505.31522196689,93,Washington St.,6,6,0,0.5,295,277,18,5,1,1485.4547205921237,19.860501374766272,3,4,1
Bill Doba,2007,1506.71072672732,92,Washington St.,5,7,0,0.41667,308,389,-81,5,1,1485.4547205921237,21.25600613519623,4,4,1
Bill Lynch,1995,1518.27961833269,67,Ball St. (IN),7,4,0,0.63636,204,187,17,5,1,1487.7461602823912,30.533458050298805,0,11,2
Bill Lynch,1996,1547.12434257048,39,Ball St. (IN),8,4,0,0.66667,296,210,86,5,1,1487.7461602823912,59.37818228808874,1,11,2
Bill Lynch,1997,1512.64554796518,78,Ball St. (IN),5,6,0,0.45455,239,260,-21,5,1,1487.7461602823912,24.899387682788756,2,11,2
Bill Lynch,1998,1426.78364784108,1835,Ball St. (IN),1,10,0,0.09091,150,343,-193,5,1,1487.7461602823912,-60.96251244131122,3,11,2
Bill Lynch,1999,1349.31117687218,1876,Ball St. (IN),0,11,0,0,157,361,-204,5,1,1487.7461602823912,-138.4349834102111,4,11,2
Bill Lynch,2000,1417.69084056448,1874,Ball St. (IN),5,6,0,0.45455,212,349,-137,5,1,1487.7461602823912,-70.05531971791129,5,11,2
Bill Lynch,2001,1450.76385051163,1867,Ball St. (IN),5,6,0,0.45455,268,296,-28,5,1,1487.7461602823912,-36.982309770761276,6,11,2
Bill Lynch,2002,1465.11264267092,1866,Ball St. (IN),6,6,0,0.5,278,333,-55,5,1,1487.7461602823912,-22.633517611471234,7,11,2
Bill Lynch,2007,1494.80816645289,1854,Indiana,7,6,0,0.53846,412,370,42,5,1,1472.7367442114776,22.071422241412392,8,11,2
Bill Lynch,2008,1432.74081514873,1977,Indiana,3,9,0,0.25,246,423,-177,5,1,1472.7367442114776,-39.995929062747564,9,11,2
Bill Lynch,2009,1424.56676300274,2001,Indiana,4,8,0,0.33333,282,354,-72,5,1,1472.7367442114776,-48.16998120873768,10,11,2
Bill Lynch,2010,1440.3227036976,2007,Indiana,5,7,0,0.41667,326,408,-82,5,1,1472.7367442114776,-32.41404051387758,11,11,2
Bill O'Brien,2012,1564.28273589658,39,Penn St.,8,4,0,0.66667,349,229,120,2,0,1553.0051279207628,11.277607975817318,0,1,1
Bill O'Brien,2013,1553.81065600321,49,Penn St.,7,5,0,0.58333,344,314,30,2,0,1553.0051279207628,0.8055280824471538,1,1,1
Bill Snyder,1989,1433.01456361857,1719,Kansas St.,1,10,0,0.09091,134,349,-215,1,0,1479.8834143970566,-46.8688507784866,0,23,1
Bill Snyder,1990,1444.19622324466,1726,Kansas St.,5,6,0,0.45455,255,293,-38,1,0,1479.8834143970566,-35.687191152396736,1,23,1
Bill Snyder,1991,1483.81676051144,1687,Kansas St.,7,4,0,0.63636,263,226,37,1,0,1479.8834143970566,3.933346114383312,2,23,1
Bill Snyder,1992,1471.03900000349,1722,Kansas St.,5,6,0,0.45455,195,233,-38,1,0,1479.8834143970566,-8.844414393566694,3,23,1
Bill Snyder,1993,1551.64522494784,32,Kansas St.,9,2,1,0.79167,340,227,113,1,0,1479.8834143970566,71.76181055078337,4,23,1
Bill Snyder,1994,1583.02584336568,19,Kansas St.,9,3,0,0.75,312,168,144,1,0,1479.8834143970566,103.14242896862334,5,23,1
Bill Snyder,1995,1616.15484917889,13,Kansas St.,10,2,0,0.83333,456,166,290,1,0,1479.8834143970566,136.27143478183325,6,23,1
Bill Snyder,1996,1616.10415001442,11,Kansas St.,9,3,0,0.75,340,191,149,1,0,1479.8834143970566,136.2207356173633,7,23,1
Bill Snyder,1997,1658.16920597801,5,Kansas St.,11,1,0,0.91667,418,177,241,1,0,1479.8834143970566,178.2857915809534,8,23,1
Bill Snyder,1998,1655.13843566757,7,Kansas St.,11,2,0,0.84615,610,197,413,1,0,1479.8834143970566,175.25502127051345,9,23,1
Bill Snyder,1999,1670.14963772133,3,Kansas St.,11,1,0,0.91667,457,164,293,1,0,1479.8834143970566,190.26622332427337,10,23,1
Bill Snyder,2000,1659.15835624533,3,Kansas St.,11,3,0,0.78571,549,261,288,1,0,1479.8834143970566,179.27494184827333,11,23,1
Bill Snyder,2001,1596.07959012016,16,Kansas St.,6,6,0,0.5,330,205,125,1,0,1479.8834143970566,116.19617572310335,12,23,1
Bill Snyder,2002,1631.51403461044,8,Kansas St.,11,2,0,0.84615,582,154,428,1,0,1479.8834143970566,151.63062021338328,13,23,1
Bill Snyder,2003,1642.6835058298,10,Kansas St.,11,4,0,0.73333,549,244,305,1,0,1479.8834143970566,162.80009143274333,14,23,1
Bill Snyder,2004,1556.32978343932,43,Kansas St.,4,7,0,0.36364,326,337,-11,1,0,1479.8834143970566,76.44636904226331,15,23,1
Bill Snyder,2005,1515.05870382671,77,Kansas St.,5,6,0,0.45455,289,305,-16,1,0,1479.8834143970566,35.175289429653276,16,23,1
Bill Snyder,2009,1494.09690838997,1878,Kansas St.,6,6,0,0.5,276,280,-4,1,0,1479.8834143970566,14.2134939929133,17,23,1
Bill Snyder,2010,1495.57423332778,1887,Kansas St.,7,6,0,0.53846,437,378,59,1,0,1479.8834143970566,15.690818930723253,18,23,1
Bill Snyder,2011,1577.82047979477,34,Kansas St.,10,3,0,0.76923,413,363,50,1,0,1479.8834143970566,97.93706539771347,19,23,1
Bill Snyder,2012,1633.26099295589,13,Kansas St.,11,2,0,0.84615,505,288,217,1,0,1479.8834143970566,153.37757855883342,20,23,1
Bill Snyder,2013,1618.24305991892,20,Kansas St.,8,5,0,0.61538,432,298,134,1,0,1479.8834143970566,138.35964552186329,21,23,1
Bill Snyder,2014,1617.26142491815,16,Kansas St.,9,4,0,0.69231,465,301,164,1,0,1479.8834143970566,137.3780105210933,22,23,1
Bill Snyder,2015,1556.23149492572,48,Kansas St.,6,7,0,0.46154,389,409,-20,1,0,1479.8834143970566,76.34808052866333,23,23,1
Bill Stewart,2007,1581.71499140065,25,West Virginia,1,0,0,1,48,28,20,4,0,1518.5093084749947,63.20568292565531,0,3,1
Bill Stewart,2008,1585.24631100205,22,West Virginia,9,4,0,0.69231,319,221,98,4,0,1518.5093084749947,66.73700252705544,1,3,1
Bill Stewart,2009,1582.10351763102,24,West Virginia,9,4,0,0.69231,340,282,58,4,0,1518.5093084749947,63.59420915602527,2,3,1
Bill Stewart,2010,1587.05049447436,26,West Virginia,9,4,0,0.69231,327,176,151,4,0,1518.5093084749947,68.54118599936533,3,3,1
Blake Anderson,2014,1492.13867471478,1985,Arkansas St.,7,6,0,0.53846,477,396,81,0,NA,1478.2431126016395,13.895562113140613,0,1,1
Blake Anderson,2015,1527.5931699524,80,Arkansas St.,9,4,0,0.69231,520,393,127,0,NA,1478.2431126016395,49.35005735076061,1,1,1
Bo Pelini,2003,1567.77131473529,37,Nebraska,1,0,0,1,17,3,14,5,1,1568.105483616495,-0.3341688812049597,0,7,1
Bo Pelini,2008,1574.18665115194,28,Nebraska,9,4,0,0.69231,460,371,89,5,1,1568.105483616495,6.081167535445047,1,7,1
Bo Pelini,2009,1593.65704912111,20,Nebraska,10,4,0,0.71429,352,146,206,5,1,1568.105483616495,25.551565504615155,2,7,1
Bo Pelini,2010,1604.16464535156,19,Nebraska,10,4,0,0.71429,432,243,189,5,1,1568.105483616495,36.05916173506512,3,7,1
Bo Pelini,2011,1609.09539200724,20,Nebraska,9,4,0,0.69231,379,304,75,5,1,1568.105483616495,40.989908390745086,4,7,1
Bo Pelini,2012,1614.34313219052,17,Nebraska,10,4,0,0.71429,487,386,101,5,1,1568.105483616495,46.237648574025116,5,7,1
Bo Pelini,2013,1594.53839913083,26,Nebraska,9,4,0,0.69231,415,323,92,5,1,1568.105483616495,26.432915514335036,6,7,1
Bo Pelini,2014,1578.12668596104,36,Nebraska,9,3,0,0.75,449,298,151,5,1,1568.105483616495,10.021202344545145,7,7,1
Bob Davie,1997,1520.69434288054,63,Notre Dame (IN),7,6,0,0.53846,282,265,17,5,1,1573.8132332987477,-53.118890418207684,0,8,2
Bob Davie,1998,1565.38748286788,30,Notre Dame (IN),9,3,0,0.75,328,248,80,5,1,1573.8132332987477,-8.425750430867765,1,8,2
Bob Davie,1999,1516.9953219788,65,Notre Dame (IN),5,7,0,0.41667,348,331,17,5,1,1573.8132332987477,-56.817911319947825,2,8,2
Bob Davie,2000,1571.21549168836,32,Notre Dame (IN),9,3,0,0.75,353,267,86,5,1,1573.8132332987477,-2.5977416103876294,3,8,2
Bob Davie,2001,1548.72180624216,46,Notre Dame (IN),5,6,0,0.45455,214,215,-1,5,1,1573.8132332987477,-25.09142705658769,4,8,2
Bob Davie,2012,1430.65362061996,2049,New Mexico,4,9,0,0.30769,335,393,-58,0,NA,1472.9007045838625,-42.24708396390247,5,8,2
Bob Davie,2013,1400.9567788153,2098,New Mexico,3,9,0,0.25,393,513,-120,0,NA,1472.9007045838625,-71.94392576856262,6,8,2
Bob Davie,2014,1406.07257374947,2111,New Mexico,4,8,0,0.33333,332,431,-99,0,NA,1472.9007045838625,-66.8281308343926,7,8,2
Bob Davie,2015,1447.85949536313,2088,New Mexico,7,6,0,0.53846,389,369,20,0,NA,1472.9007045838625,-25.041209220732526,8,8,2
Bob Diaco,2014,1411.55856168383,2106,Connecticut,2,10,0,0.16667,186,358,-172,0,NA,1492.9687140351762,-81.41015235134614,0,1,1
Bob Diaco,2015,1452.69521127981,2084,Connecticut,6,7,0,0.46154,223,253,-30,0,NA,1492.9687140351762,-40.27350275536605,1,1,1
Bob Gregory,2013,1509.23959906857,101,Boise St. (ID),0,1,0,0,23,38,-15,6,0,1536.715981239649,-27.476382171078967,0,0,1
Bob Stoops,1999,1513.6336744013,70,Oklahoma,7,5,0,0.58333,430,229,201,0,NA,1580.6771509230812,-67.04347652178126,0,16,1
Bob Stoops,2000,1635.63897532192,10,Oklahoma,13,0,0,1,481,194,287,0,NA,1580.6771509230812,54.96182439883887,1,16,1
Bob Stoops,2001,1653.459124879,6,Oklahoma,11,2,0,0.84615,397,169,228,0,NA,1580.6771509230812,72.78197395591883,2,16,1
Bob Stoops,2002,1671.98444026311,1,Oklahoma,12,2,0,0.85714,541,216,325,0,NA,1580.6771509230812,91.30728934002877,3,16,1
Bob Stoops,2003,1684.01378418752,1,Oklahoma,12,2,0,0.85714,601,214,387,0,NA,1580.6771509230812,103.33663326443889,4,16,1
Bob Stoops,2004,1704.38868696146,2,Oklahoma,12,1,0,0.92308,452,219,233,0,NA,1580.6771509230812,123.71153603837888,5,16,1
Bob Stoops,2005,1658.00337032571,4,Oklahoma,8,4,0,0.66667,323,277,46,0,NA,1580.6771509230812,77.3262194026288,6,16,1
Bob Stoops,2006,1657.23675460549,7,Oklahoma,11,3,0,0.78571,424,242,182,0,NA,1580.6771509230812,76.5596036824088,7,16,1
