"date","coach","coach2","coach_win","coach_margin","year"
-27422,"Albert P. Simmons","C.D. Clark",0,-20,1894
-27411,"Harry Orman Robinson","R.D. Wentworth",1,28,1894
-27130,"Alvin H. Culver","Hiram O. Stickney",0,-6,1895
-27125,"Bert German","D.M. Balliet",0,-1,1895
-27125,"Glenn Scobey ""Pop"" Warner","D.M. Balliet",0,-1,1895
-27123,"Bert German","Alvin H. Culver",1,36,1895
-27123,"Glenn Scobey ""Pop"" Warner","Alvin H. Culver",1,36,1895
-27121,"Bert German","Hiram O. Stickney",0,-22,1895
-27121,"Glenn Scobey ""Pop"" Warner","Hiram O. Stickney",0,-22,1895
-27109,"Charles B. Mason","D.M. Balliet",0,-32,1895
-27109,"Clifford Douglas ""Pop"" Bliss","C.L. Upton",1,16,1895
-27109,"Thomas Gawthrop ""Doggie"" Trenchard","Bart Gatling",1,36,1895
-27102,"Bert German","Walt W. ""Pudge"" Heffelfinger",0,-24,1895
-27102,"Glenn Scobey ""Pop"" Warner","Walt W. ""Pudge"" Heffelfinger",0,-24,1895
-27102,"Clifford Douglas ""Pop"" Bliss","D.M. Balliet",1,10,1895
-27095,"George A. Huff","Hiram O. Stickney",0,0,1895
-27095,"Albert P. Simmons","T.L. Bayne",1,4,1895
-27095,"J.P. Linn","Harry McCrory",0,-8,1895
-27093,"Thomas Gawthrop ""Doggie"" Trenchard","C.L. Upton",1,12,1895
-27092,"Walt W. ""Pudge"" Heffelfinger","D.M. Balliet",0,-12,1895
-27088,"Clifford Douglas ""Pop"" Bliss","Charles Thomas",0,-2,1895
-27088,"Alvin H. Culver","D.M. Balliet",1,18,1895
-27081,"John W. Heisman","C.L. Upton",0,-3,1895
-27081,"Clifford Douglas ""Pop"" Bliss","Alvin H. Culver",1,4,1895
-27075,"Charles B. Mason","Jack Ryder",0,-2,1895
-27074,"Eli Abbott","T.L. Bayne",0,-22,1895
-27074,"Hector W. Cowan","Charles Thomas",1,4,1895
-27074,"William McCauley","D.M. Balliet",1,2,1895
-27074,"Walt W. ""Pudge"" Heffelfinger","Hiram O. Stickney",1,4,1895
-27074,"Thomas Gawthrop ""Doggie"" Trenchard","Art C. Jones",1,27,1895
-27072,"Eli Abbott","Albert P. Simmons",0,-6,1895
-27067,"Eli Abbott","John W. Heisman",0,-48,1895
-27067,"George A. Huff","Alvin H. Culver",1,34,1895
-27067,"William McCauley","Walt W. ""Pudge"" Heffelfinger",1,20,1895
-27067,"Frank Crawford","T.L. Bayne",1,16,1895
-27062,"Frank S. Butterworth","Walter C. Camp",0,0,1895
-27062,"George A. Huff","D.M. Balliet",0,-4,1895
-27062,"Hector W. Cowan","Clifford Douglas ""Pop"" Bliss",0,-4,1895
-27062,"H.L. Fairbanks","T.L. Bayne",0,-24,1895
-26753,"William A. ""Billy"" Reynolds","Ernest Merrill",0,-2,1896
-26753,"Bert German","Frank H. Patterson",1,12,1896
-26752,"Dr. Samuel B. Newton","George W. Hoskins",1,6,1896
-26745,"William A. ""Billy"" Reynolds","Charles A. Hickey",1,2,1896
-26745,"Dudley Short","R.G. Acton",0,-6,1896
-26738,"William A. ""Billy"" Reynolds","Frank Remsburg",1,52,1896
-26738,"George A. Huff","Frank H. Patterson",1,10,1896
-26738,"Alexander Jerrems","S.M. Hammond",1,14,1896
-26731,"Bert German","Alexander Jerrems",0,-12,1896
-26731,"Allen W. Jeardeau","Harry W. Baum",1,6,1896
-26731,"William Ward","S.M. Hammond",1,16,1896
-26731,"Gordon Johnston","Art C. Jones",0,0,1896
-26730,"Dr. Alfred E. Bull","Hector W. Cowan",1,6,1896
-26729,"Frank H. Patterson","Edward N. Robinson",0,-4,1896
-26724,"William A. ""Billy"" Reynolds","Madison G. Gonterman",0,-16,1896
-26724,"John P. ""Johnny"" Poe","H.W. Ambruster",1,34,1896
-26724,"John P. ""Johnny"" Poe","John C.B. Pendleton",1,34,1896
-26722,"Glenn Scobey ""Pop"" Warner","Gordon Johnston",1,8,1896
-26717,"George A. Huff","Alvin H. Culver",0,-6,1896
-26717,"William Ward","Alexander Jerrems",1,2,1896
-26717,"Frank H. Patterson","R.G. Acton",1,20,1896
-26716,"Hector W. Cowan","Edward N. Robinson",1,14,1896
-26715,"Dr. Alfred E. Bull","Frank H. Patterson",1,12,1896
-26712,"Walter M. Riggs","W.H. ""Dixie"" Whaley",0,-6,1896
-26711,"Allen W. Jeardeau","John W. Hollister",1,8,1896
-26710,"Otto Wagonhurst","J.B. Hildebrand",1,20,1896
-26710,"Frank E. Hering","S.M. Hammond",0,-6,1896
-26710,"Harry Orman Robinson","Harry W. Baum",1,8,1896
-26708,"Allen W. Jeardeau","Harry Orman Robinson",1,14,1896
-26705,"Bert German","Edward N. Robinson",0,-8,1896
-26704,"Allen W. Jeardeau","J.B. Hildebrand",1,52,1896
-26703,"Alexander Jerrems","Phillip ""Phil"" King",0,-6,1896
-26699,"George A. Huff","S.M. Hammond",0,0,1896
-26698,"John W. Heisman","Glenn Scobey ""Pop"" Warner",0,-6,1896
-26698,"Frank S. Butterworth","Harry P. Cross",0,-20,1896
-26698,"Dr. Alfred E. Bull","Edward N. Robinson",0,0,1896
-26698,"Hector W. Cowan","Frank H. Patterson",1,30,1896
-26698,"John W. Hollister","Harry W. Baum",0,-10,1896
-26698,"Alvin H. Culver","Phillip ""Phil"" King",0,0,1896
-26696,"Dr. Alfred E. Bull","Edward N. Robinson",1,6,1896
-26696,"Hector W. Cowan","Alexander Jerrems",0,-12,1896
-26680,"Frank H. Patterson","Harry Orman Robinson",1,10,1896
-26669,"Frank H. Patterson","Harry Orman Robinson",1,14,1896
-26667,"Frank H. Patterson","Harry Orman Robinson",1,6,1896
-26665,"Frank H. Patterson","Harry Orman Robinson",0,0,1896
-26661,"Frank H. Patterson","Harry Orman Robinson",1,12,1896
-26395,"Thomas F. ""Tom"" Fennell","Peter McLaren",1,12,1897
-26395,"Thomas F. ""Tom"" Fennell","Warwick Ford",1,12,1897
-26388,"William A. ""Billy"" Reynolds","Perrin Busbee",1,40,1897
-26382,"Bert German","Edward N. Robinson",1,10,1897
-26381,"Thomas F. ""Tom"" Fennell","Herbert McIntyre",1,6,1897
-26381,"William M. Williams","Charles McCarthy",0,-24,1897
-26374,"Otto Wagonhurst","Jesse Van Doozer",1,6,1897
-26374,"Gustave Ferbert","David F. Edwards",1,34,1897
-26367,"George A. Huff","William Wells ""Bill"" Church",1,30,1897
-26367,"Bert German","Alexander Jerrems",1,2,1897
-26365,"William M. Williams","William A. ""Billy"" Reynolds",0,-28,1897
-26360,"Thomas F. ""Tom"" Fennell","Herbert McIntyre",1,4,1897
-26360,"Madison G. Gonterman","William Wells ""Bill"" Church",0,-14,1897
-26360,"Otto Wagonhurst","Wylie G. Woodruff",0,-56,1897
-26360,"Lyman B. Eaton","R.G. Acton",0,-50,1897
-26360,"Alexander Jerrems","Phillip ""Phil"" King",0,-39,1897
-26360,"Charles Young","Edward N. Robinson",0,-41,1897
-26360,"Richard ""Bill"" Armstrong","Dr. Samuel B. Newton",1,4,1897
-26360,"William A. ""Billy"" Reynolds","Charles Firth",0,-4,1897
-26356,"Walter F. Kelly","Joe J. Field",1,8,1897
-26354,"Otto Wagonhurst","Bert German",0,-2,1897
-26354,"Peter McLaren","George R. Krebs",1,12,1897
-26354,"Warwick Ford","George R. Krebs",1,12,1897
-26353,"C.W. Dibble","Frank E. Wade",1,16,1897
-26353,"Gustave Ferbert","William Wells ""Bill"" Church",1,30,1897
-26353,"Richard ""Bill"" Armstrong","John C.B. Pendleton",1,1,1897
-26353,"William A. ""Billy"" Reynolds","R.G. Acton",0,-31,1897
-26353,"David F. Edwards","George R. Krebs",0,-28,1897
-26348,"William M. Williams","W.P. Murphy",1,14,1897
-26346,"C.W. Dibble","Frank E. Wade",1,10,1897
-26346,"Thomas F. ""Tom"" Fennell","David F. Edwards",1,24,1897
-26346,"Wylie G. Woodruff","Edward N. Robinson",0,-5,1897
-26346,"Gustave Ferbert","Alexander Jerrems",1,14,1897
-26346,"Charles Young","William Wells ""Bill"" Church",0,-18,1897
-26334,"Charles P. Nott","George H. Brooke",0,-28,1897
-26334,"Otto Wagonhurst","Edward N. Robinson",0,-6,1897
-26334,"Wylie G. Woodruff","Charles Young",1,16,1897
-26334,"Alexander Jerrems","William Wells ""Bill"" Church",0,-6,1897
-26334,"Jesse Van Doozer","Phillip ""Phil"" King",0,-22,1897
-26295,"Thomas F. ""Tom"" Fennell","Allen W. Jeardeau",1,28,1897
-26024,"Frank W. Cavanaugh","Peter McLaren",1,12,1898
-26017,"Frank W. Cavanaugh","No Coach",1,22,1898
-26017,"John A. Penton","Charles McCarthy",0,-12,1898
-26017,"George A. Huff","Frank E. Hering",0,-5,1898
-26017,"Bert German","Fielding H. ""Hurry Up"" Yost",0,-13,1898
-26010,"Bert German","Wylie G. Woodruff",0,-5,1898
-26010,"William A. ""Billy"" Reynolds","W.C. Riddick",1,34,1898
-26010,"D.F. Edwards","Dr. James Morrison",1,16,1898
-26009,"Frank W. Cavanaugh","R.G. Acton",1,10,1898
-26004,"Gustave Ferbert","Frank E. Hering",1,23,1898
-26003,"Charles McCarthy","R.B. ""Cow"" Nalley",1,15,1898
-26003,"Bert German","Jack Minds",1,6,1898
-26003,"Richard ""Bill"" Armstrong","Dr. Samuel B. Newton",1,5,1898
-26003,"D.F. Edwards","H.W. Williams",1,48,1898
-26001,"David Lewis Fultz","Fielding H. ""Hurry Up"" Yost",0,-41,1898
-25996,"Jack Minds","Phillip ""Phil"" King",0,-29,1898
-25995,"Charles McCarthy","R.G. Acton",1,4,1898
-25990,"William A. ""Billy"" Reynolds","J. Lewis Ingles",1,22,1898
-25989,"John W. Heisman","R.B. ""Cow"" Nalley",1,23,1898
-25989,"Wylie G. Woodruff","Fielding H. ""Hurry Up"" Yost",0,-12,1898
-25989,"Gustave Ferbert","W.H. Bannard",1,1,1898
-25989,"D.F. Edwards","Dr. James Morrison",1,29,1898
-25983,"James H. Horne","Frank E. Hering",1,6,1898
-25982,"Charles McCarthy","William A. ""Billy"" Reynolds",0,-44,1898
-25982,"George A. Huff","Gustave Ferbert",0,-7,1898
-25982,"James H. Horne","Alpha P. Jamison",0,-14,1898
-25982,"Jack Minds","W.H. Bannard",1,11,1898
-25980,"John W. Heisman","William A. ""Billy"" Reynolds",0,-24,1898
-25977,"John A. Penton","William ""Bill"" Wertenbaker",1,24,1898
-25977,"Fred G. Folsom","Fielding H. ""Hurry Up"" Yost",0,-13,1898
-25970,"John W. Heisman","Charles McCarthy",1,1,1898
-25970,"Frank W. Cavanaugh","James H. Horne",0,0,1898
-25970,"John A. Penton","R.B. ""Cow"" Nalley",1,23,1898
-25970,"George A. Huff","Jack Minds",1,1,1898
-25970,"Alden Knipe","Fielding H. ""Hurry Up"" Yost",1,1,1898
-25970,"Wylie G. Woodruff","David Lewis Fultz",1,12,1898
-25970,"W.H. Bannard","Phillip ""Phil"" King",0,-47,1898
-25969,"Garrett Cochran","Harry P. Cross",1,22,1898
-25952,"T.G. Scarbrough","John Lombard",0,-5,1898
-25947,"Edmond A. Chavanne","John Lombard",1,37,1898
-25654,"Joe Meyers","Alonzo Edwin Branch",1,33,1899
-25653,"Herman J. Koehler","Samuel Alexander Boyle",0,-6,1899
-25653,"Walter M. Riggs","Gordon Saussy",0,-11,1899
-25653,"William A. ""Billy"" Reynolds","W.C. Riddick",1,34,1899
-25646,"John W. Heisman","Mr. Collier",1,63,1899
-25646,"Walter M. Riggs","W.C. Riddick",1,10,1899
-25646,"George A. Huff","James H. Horne",0,-5,1899
-25646,"Charles M. ""Doc"" Hollister","Phillip ""Phil"" King",0,-38,1899
-25645,"Fred G. Folsom","W.J. Forbes",1,63,1899
-25642,"Gustave Ferbert","James McWeeney",1,12,1899
-25639,"Daniel A. ""Dan"" Reed","James L. Crane",1,6,1899
-25639,"Joe Meyers","John M. Harrison & William C. Leary",0,-6,1899
-25639,"Ernest Cleveland ""E.C."" White","Alonzo Edwin Branch",1,11,1899
-25639,"Richard ""Bill"" Armstrong","Samuel Alexander Boyle",1,6,1899
-25639,"Fred Sullivan","Dr. John B.C. Eckstorm",0,-41,1899
-25637,"James H. Horne","James McWeeney",0,-17,1899
-25636,"Colbert Searles","Vernon L. Parrington",0,-6,1899
-25633,"Alden Knipe","Joe Meyers",1,5,1899
-25632,"Colbert Searles","Fred Taylor (2)",1,11,1899
-25632,"John W. Heisman","Walter M. Riggs",1,34,1899
-25632,"Gordon Saussy","Mr. Collier",1,33,1899
-25632,"George A. Huff","Gustave Ferbert",0,-5,1899
-25632,"James H. Horne","James L. Crane",1,20,1899
-25632,"William A. ""Billy"" Reynolds","W.C. Riddick",0,0,1899
-25632,"Charles M. ""Doc"" Hollister","James McWeeney",0,-12,1899
-25626,"Colbert Searles","Fred Taylor (2)",0,0,1899
-25626,"John P. Gregg","W.H. Lyon",0,-11,1899
-25625,"Daniel A. ""Dan"" Reed","James H. Horne",0,-35,1899
-25625,"T.D. Knowles","Frederick W. ""Fred"" Murphy",0,-28,1899
-25625,"Alden Knipe","Alonzo Edwin Branch",1,30,1899
-25625,"John M. Harrison & William C. Leary","Charles M. ""Doc"" Hollister",0,-6,1899
-25625,"W.H. Lyon","James L. Crane",0,-11,1899
-25625,"Richard ""Bill"" Armstrong","William A. ""Billy"" Reynolds",1,12,1899
-25625,"M.G. Clarke","W.A. Murray",1,6,1899
-25620,"Walter M. Riggs","I.O. Hunt",1,34,1899
-25618,"George A. Huff","Phillip ""Phil"" King",0,-23,1899
-25618,"A. King Dickson","B.C. ""Burr"" Chamberlain",0,-12,1899
-25614,"Garrett Cochran","A. King Dickson",1,24,1899
-25611,"Herman J. Koehler","Frank E. Wade",1,6,1899
-25611,"John W. Heisman","Gordon Saussy",0,0,1899
-25611,"Garrett Cochran","Frank W. Simpson",1,12,1899
-25611,"James H. Horne","Charles M. ""Doc"" Hollister",0,-5,1899
-25611,"Fielding H. ""Hurry Up"" Yost","Alonzo Edwin Branch",1,16,1899
-25611,"John M. Harrison & William C. Leary","Phillip ""Phil"" King",0,-19,1899
-25611,"James McWeeney","Alpha P. Jamison",0,0,1899
-25611,"M.G. Clarke","James L. Crane",0,-6,1899
-25609,"M.G. Clarke","H.H. Collier",1,11,1899
-25607,"George A. Huff","Alpha P. Jamison",0,-5,1899
-25605,"W.A. Martin","W.H. Lyon",1,2,1899
