"date","coach","coach2","coach_win","coach_margin","year"
-10687,"Bernie H. Moore","Harry J. Mehre",0,-13,1940
-10687,"Cam Henderson","Henry B. ""Puss"" Redd",1,6,1940
-10687,"Bernard W. ""Bernie"" Bierman","James M. ""Jimmy"" Phelan",1,5,1940
-10687,"James W. ""Jim"" Aiken","Edwin R. ""Eddie"" Kimball",0,0,1940
-10687,"Ted E. Shipkey","Claire H. ""Okie"" Blanchard",0,-4,1940
-10687,"Raymond ""Bear"" Wolf","Douglas Clyde ""Pea Head"" Walker",0,-12,1940
-10687,"Francis A. Schmidt","Charles W. Bowser",1,23,1940
-10687,"Howard H. Jones","Orin E. ""Babe"" Hollingbery",0,0,1940
-10681,"Joe Aillet","Mack Saxon",1,12,1940
-10680,"Miles W. Casteel","Julius J. Johnston",1,41,1940
-10680,"Fred C. Thomsen","Leo R. ""Dutch"" Meyer",0,-20,1940
-10680,"John F. ""Jack"" Meagher","Lowell P. ""Red"" Dawson",1,6,1940
-10680,"John Magnabosco","Ron Finch",0,-7,1940
-10680,"Joseph A. ""Joe"" Meyer","Major Emery E. ""Swede"" Larson",0,-14,1940
-10680,"Frank Howard","Williams ""Doc"" Newton",1,19,1940
-10680,"Frank C. Potts","Hobbs Adams",1,1,1940
-10680,"Harry W. Hughes","Claire H. ""Okie"" Blanchard",0,0,1940
-10680,"J.O. Christian","Elbert Caraway",1,13,1940
-10680,"Wallace W. Wade","Robert R. ""Bob"" Neyland",0,-13,1940
-10680,"Wallace Butts","Rex Enright",1,31,1940
-10680,"Alvin N. ""Bo"" McMillin","Dana X. Bible",0,-7,1940
-10680,"James J. ""Jim"" Yeager","Gwinn Henry",1,7,1940
-10680,"Johnny Cain","Allyn McKeen",0,-20,1940
-10680,"Herbert O. ""Fritz"" Crisler","Charles W. Bachman",1,7,1940
-10680,"Bernard W. ""Bernie"" Bierman","Lawrence M. ""Biff"" Jones",1,6,1940
-10680,"Don B. Faurot","Charles W. Bowser",0,-6,1940
-10680,"Jack Sisco","Madison A. ""Matty"" Bell",0,-13,1940
-10680,"Lynn O. ""Pappy"" Waldorf","Oscar M. ""Ossie"" Solem",1,40,1940
-10680,"Francis A. Schmidt","Allen H. ""Mal"" Elward",1,3,1940
-10680,"Thomas E. ""Tom"" Stidham","Edwin M. ""Jim"" Lookabaugh",1,2,1940
-10680,"Gerald A. ""Tex"" Oliver","Clark D. Shaughnessy",0,-13,1940
-10680,"Alonaz L. ""Lon"" Stiner","Howard H. Jones",0,0,1940
-10680,"Homer H. Norton","Chester ""Chet"" Benefiel",1,35,1940
-10680,"Ike J. Armstrong","Edwin R. ""Eddie"" Kimball",1,6,1940
-10674,"Millard F. ""Dixie"" Howell","Ted E. Shipkey",1,7,1940
-10674,"Joe Aillet","William L. ""Gander"" Terry",1,1,1940
-10674,"Claire H. ""Okie"" Blanchard","Edwin R. ""Eddie"" Kimball",0,-20,1940
-10673,"Miles W. Casteel","Ike J. Armstrong",0,-24,1940
-10673,"Fred C. Thomsen","Morley Jennings",1,6,1940
-10673,"John F. ""Jack"" Meagher","Allyn McKeen",0,0,1940
-10673,"Frank W. Leahy","J. Ray Morrison",1,13,1940
-10673,"Leonard B. ""Stub"" Allison","Orin E. ""Babe"" Hollingbery",0,-3,1940
-10673,"Frank Howard","Douglas Clyde ""Pea Head"" Walker",1,39,1940
-10673,"Frank C. Potts","E. Lowell ""Dick"" Romney",1,26,1940
-10673,"John B. Christenbury","Tommy L Scott",1,18,1940
-10673,"Wallace Butts","Harry J. Mehre",0,-14,1940
-10673,"William A. ""Bill"" Alexander","Elmer F. Layden",0,-6,1940
-10673,"Robert C. Zuppke","Howard H. Jones",0,-6,1940
-10673,"Alvin N. ""Bo"" McMillin","Lawrence M. ""Biff"" Jones",0,-6,1940
-10673,"Edward N. ""Eddie"" Anderson","Harry A. Stuhldreher",1,18,1940
-10673,"Hobbs Adams","Don B. Faurot",0,-11,1940
-10673,"A.D. Kirwan","Harry R. ""Red"" Sanders",0,0,1940
-10673,"Bernie H. Moore","Jess C. Neely",0,-23,1940
-10673,"Cam Henderson","Clarence W. ""Doc"" Spears",0,-1,1940
-10673,"John E. ""Jack"" Faber","Frank J. Murray",0,-13,1940
-10673,"C.C. Humphreys","E.W. Midgett",1,7,1940
-10673,"Charles W. Bachman","Allen H. ""Mal"" Elward",1,13,1940
-10673,"Raymond ""Bear"" Wolf","Leo R. ""Dutch"" Meyer",1,7,1940
-10673,"Lynn O. ""Pappy"" Waldorf","Francis A. Schmidt",1,3,1940
-10673,"Don Peden","Mitchell Gary",1,13,1940
-10673,"Thomas E. ""Tom"" Stidham","Dana X. Bible",0,-3,1940
-10673,"Gerald A. ""Tex"" Oliver","James M. ""Jimmy"" Phelan",0,-10,1940
-10673,"Robert A. ""Bob"" Higgins","William F. ""Bill"" Kern",1,4,1940
-10673,"Charles W. Bowser","Madison A. ""Matty"" Bell",0,0,1940
-10673,"Homer H. Norton","Edwin C. ""Babe"" Horrell",1,7,1940
-10667,"Charles W. Bachman","J. Ray Morrison",0,-2,1940
-10667,"Pete W. Cawthon","Edwin R. ""Eddie"" Kimball",1,1,1940
-10666,"Frank W. Thomas","Robert R. ""Bob"" Neyland",0,-15,1940
-10666,"Millard F. ""Dixie"" Howell","Julius J. Johnston",1,36,1940
-10666,"Fred C. Thomsen","Dana X. Bible",0,-21,1940
-10666,"John F. ""Jack"" Meagher","Madison A. ""Matty"" Bell",0,-7,1940
-10666,"Harry Ockerman","Elton J. Rynearson",1,15,1940
-10666,"Leonard B. ""Stub"" Allison","Edwin C. ""Babe"" Horrell",1,2,1940
-10666,"Frank C. Potts","Harry W. Hughes",1,19,1940
-10666,"Thomas J. ""Tom? Lieb","John E. ""Jack"" Faber",1,19,1940
-10666,"B.L. ""Crook"" Smith","Albert Choate",0,-14,1940
-10666,"William A. ""Bill"" Alexander","Harry R. ""Red"" Sanders",1,19,1940
-10666,"Robert C. Zuppke","Herbert O. ""Fritz"" Crisler",0,-28,1940
-10666,"Alvin N. ""Bo"" McMillin","Edward N. ""Eddie"" Anderson",1,4,1940
-10666,"James J. ""Jim"" Yeager","Don B. Faurot",0,-16,1940
-10666,"Gwinn Henry","Lawrence M. ""Biff"" Jones",0,-51,1940
-10666,"Hobbs Adams","Thomas E. ""Tom"" Stidham",0,-14,1940
-10666,"Cam Henderson","Douglas Clyde ""Pea Head"" Walker",0,-12,1940
-10666,"Bernard W. ""Bernie"" Bierman","Francis A. Schmidt",1,6,1940
-10666,"Ted E. Shipkey","Mack Saxon",0,-2,1940
-10666,"Raymond ""Bear"" Wolf","Williams ""Doc"" Newton",1,6,1940
-10666,"Lynn O. ""Pappy"" Waldorf","Harry A. Stuhldreher",1,20,1940
-10666,"Gerald A. ""Tex"" Oliver","Howard H. Jones",0,-13,1940
-10666,"Alonaz L. ""Lon"" Stiner","James M. ""Jimmy"" Phelan",0,-19,1940
-10666,"Jess C. Neely","Lowell P. ""Red"" Dawson",0,-9,1940
-10666,"Clark D. Shaughnessy","Orin E. ""Babe"" Hollingbery",1,12,1940
-10666,"Homer H. Norton","Leo R. ""Dutch"" Meyer",1,14,1940
-10666,"Ike J. Armstrong","E. Lowell ""Dick"" Romney",0,-7,1940
-10661,"Frank Howard","Rex Enright",1,8,1940
-10660,"Ron Finch","Elton J. Rynearson",1,24,1940
-10660,"Jimmy Bradshaw","Leo B. Calland",0,0,1940
-10660,"Wallace Butts","A.D. Kirwan",0,0,1940
-10659,"Miles W. Casteel","Edwin M. ""Jim"" Lookabaugh",1,24,1940
-10659,"Millard F. ""Dixie"" Howell","Mack Saxon",0,0,1940
-10659,"Fred C. Thomsen","Harry J. Mehre",1,1,1940
-10659,"John F. ""Jack"" Meagher","William A. ""Bill"" Alexander",1,9,1940
-10659,"Morley Jennings","Homer H. Norton",0,-7,1940
-10659,"Jim Peelle","J.O. Christian",1,1,1940
-10659,"Leonard B. ""Stub"" Allison","James M. ""Jimmy"" Phelan",0,-1,1940
-10659,"Frank C. Potts","Claire H. ""Okie"" Blanchard",1,62,1940
-10659,"Harry W. Hughes","Ted E. Shipkey",1,1,1940
-10659,"Wallace W. Wade","Douglas Clyde ""Pea Head"" Walker",1,23,1940
-10659,"Thomas J. ""Tom? Lieb","Robert R. ""Bob"" Neyland",0,-14,1940
-10659,"Robert C. Zuppke","Elmer F. Layden",0,-26,1940
-10659,"Alvin N. ""Bo"" McMillin","Lynn O. ""Pappy"" Waldorf",0,-13,1940
-10659,"Edward N. ""Eddie"" Anderson","Bernard W. ""Bernie"" Bierman",0,-28,1940
-10659,"James J. ""Jim"" Yeager","Thomas E. ""Tom"" Stidham",0,-13,1940
-10659,"Gwinn Henry","Hobbs Adams",0,-20,1940
-10659,"Bernie H. Moore","Harry R. ""Red"" Sanders",1,7,1940
-10659,"E.W. Midgett","William L. ""Gander"" Terry",0,-13,1940
-10659,"Allyn McKeen","Williams ""Doc"" Newton",1,16,1940
-10659,"Don B. Faurot","Lawrence M. ""Biff"" Jones",0,-13,1940
-10659,"Raymond ""Bear"" Wolf","Lowell P. ""Red"" Dawson",0,-1,1940
-10659,"Gerald A. ""Tex"" Oliver","Orin E. ""Babe"" Hollingbery",0,0,1940
-10659,"Alonaz L. ""Lon"" Stiner","Edwin C. ""Babe"" Horrell",1,7,1940
-10659,"Robert A. ""Bob"" Higgins","J. Ray Morrison",1,18,1940
-10659,"Allen H. ""Mal"" Elward","Harry A. Stuhldreher",0,-1,1940
-10659,"Jess C. Neely","Dana X. Bible",1,13,1940
-10659,"Howard H. Jones","Clark D. Shaughnessy",0,-14,1940
-10659,"Leo R. ""Dutch"" Meyer","Chester ""Chet"" Benefiel",0,-7,1940
-10659,"Clarence W. ""Doc"" Spears","Mitchell Gary",1,12,1940
-10653,"Johnny Cain","Joe Aillet",1,1,1940
-10653,"C.C. Humphreys","Albert Choate",1,24,1940
-10653,"Jack Harding","Pete W. Cawthon",0,-47,1940
-10653,"Jack Sisco","Joe Bailey Cheaney",1,22,1940
-10652,"Frank W. Thomas","A.D. Kirwan",1,25,1940
-10652,"Miles W. Casteel","Mack Saxon",1,7,1940
-10652,"Fred C. Thomsen","Homer H. Norton",0,-17,1940
-10652,"William H. Wood","Elmer F. Layden",0,-7,1940
-10652,"John F. ""Jack"" Meagher","Wallace Butts",0,-1,1940
-10652,"Morley Jennings","Leo R. ""Dutch"" Meyer",0,-2,1940
-10652,"Leonard B. ""Stub"" Allison","Alonaz L. ""Lon"" Stiner",0,-6,1940
-10652,"Frank Howard","Lowell P. ""Red"" Dawson",0,-13,1940
-10652,"Frank C. Potts","Ike J. Armstrong",0,-8,1940
-10652,"J.O. Christian","Harvey J. Harman",0,-38,1940
-10652,"Wallace W. Wade","William A. ""Bill"" Alexander",1,34,1940
-10652,"Jimmy Bradshaw","James W. ""Jim"" Aiken",1,1,1940
-10652,"Robert C. Zuppke","Harry A. Stuhldreher",0,-7,1940
-10652,"Alvin N. ""Bo"" McMillin","Francis A. Schmidt",0,-15,1940
-10652,"Edward N. ""Eddie"" Anderson","Allen H. ""Mal"" Elward",0,-15,1940
-10652,"Hobbs Adams","Charles W. Bachman",0,-32,1940
-10652,"Bernie H. Moore","Robert R. ""Bob"" Neyland",0,-28,1940
-10652,"Frank Wilton","Don Peden",0,-27,1940
-10652,"Bernard W. ""Bernie"" Bierman","Lynn O. ""Pappy"" Waldorf",1,1,1940
-10652,"Harry J. Mehre","Harry R. ""Red"" Sanders",1,6,1940
-10652,"Lawrence M. ""Biff"" Jones","Thomas E. ""Tom"" Stidham",1,13,1940
-10652,"Robert A. ""Bob"" Higgins","Rex Enright",1,12,1940
-10652,"Madison A. ""Matty"" Bell","Dana X. Bible",1,8,1940
-10652,"Clark D. Shaughnessy","Edwin C. ""Babe"" Horrell",1,6,1940
-10652,"E. Lowell ""Dick"" Romney","Edwin R. ""Eddie"" Kimball",0,-5,1940
-10652,"Frank J. Murray","Henry B. ""Puss"" Redd",0,-6,1940
-10652,"William L. ""Gander"" Terry","Mitchell Gary",1,19,1940
-10645,"Frank W. Thomas","Lowell P. ""Red"" Dawson",1,7,1940
-10645,"Fred C. Thomsen","Jess C. Neely",0,-7,1940
-10645,"John F. ""Jack"" Meagher","Frank Howard",1,14,1940
-10645,"Morley Jennings","Dana X. Bible",0,-13,1940
-10645,"Leonard B. ""Stub"" Allison","Howard H. Jones",1,13,1940
-10645,"Joseph A. ""Joe"" Meyer","William F. ""Bill"" Kern",0,0,1940
-10645,"Frank C. Potts","Don B. Faurot",0,-15,1940
-10645,"Harry W. Hughes","E. Lowell ""Dick"" Romney",1,1,1940
-10645,"Thomas J. ""Tom? Lieb","Wallace Butts",1,5,1940
-10645,"William A. ""Bill"" Alexander","A.D. Kirwan",0,-19,1940
-10645,"Robert C. Zuppke","Lynn O. ""Pappy"" Waldorf",0,-18,1940
-10645,"Alvin N. ""Bo"" McMillin","Charles W. Bachman",1,20,1940
-10645,"Edward N. ""Eddie"" Anderson","Lawrence M. ""Biff"" Jones",0,-8,1940
-10645,"Gwinn Henry","Thomas E. ""Tom"" Stidham",0,-13,1940
-10645,"Hobbs Adams","Rex Enright",0,-7,1940
-10645,"Bernie H. Moore","Allyn McKeen",0,-15,1940
-10645,"Frank Wilton","Mitchell Gary",0,-7,1940
-10645,"Herbert O. ""Fritz"" Crisler","Bernard W. ""Bernie"" Bierman",0,-1,1940
-10645,"Major Emery E. ""Swede"" Larson","Elmer F. Layden",0,-6,1940
-10645,"Ted E. Shipkey","Julius J. Johnston",1,33,1940
-10645,"Williams ""Doc"" Newton","Douglas Clyde ""Pea Head"" Walker",0,-6,1940
-10645,"Gerald A. ""Tex"" Oliver","Edwin C. ""Babe"" Horrell",1,18,1940
-10645,"Alonaz L. ""Lon"" Stiner","Orin E. ""Babe"" Hollingbery",1,21,1940
-10645,"Robert A. ""Bob"" Higgins","Oscar M. ""Ossie"" Solem",0,0,1940
-10645,"Madison A. ""Matty"" Bell","Homer H. Norton",0,-12,1940
-10645,"Clark D. Shaughnessy","James M. ""Jimmy"" Phelan",1,10,1940
-10645,"Ike J. Armstrong","Claire H. ""Okie"" Blanchard",1,27,1940
-10643,"Jimmy Bradshaw","Mack Saxon",1,10,1940
-10639,"Johnny Cain","Reed Green",0,-7,1940
-10638,"Frank W. Thomas","William A. ""Bill"" Alexander",1,1,1940
-10638,"Fred C. Thomsen","Madison A. ""Matty"" Bell",0,-28,1940
-10638,"John F. ""Jack"" Meagher","Bernie H. Moore",0,-8,1940
-10638,"Morley Jennings","Chester ""Chet"" Benefiel",1,14,1940
-10638,"Leonard B. ""Stub"" Allison","Gerald A. ""Tex"" Oliver",1,8,1940
-10638,"Frank C. Potts","Edwin R. ""Eddie"" Kimball",1,23,1940
-10638,"Harry W. Hughes","Ike J. Armstrong",0,-27,1940
-10638,"Wallace W. Wade","Raymond ""Bear"" Wolf",0,-3,1940
-10638,"Thomas J. ""Tom? Lieb","Jack Harding",1,40,1940
-10638,"Wallace Butts","Lowell P. ""Red"" Dawson",0,-8,1940
-10638,"Robert C. Zuppke","Francis A. Schmidt",0,-8,1940
-10638,"Alvin N. ""Bo"" McMillin","Harry A. Stuhldreher",0,-17,1940
-10638,"Edward N. ""Eddie"" Anderson","Elmer F. Layden",1,7,1940
-10638,"James J. ""Jim"" Yeager","Hobbs Adams",1,12,1940
-10638,"A.D. Kirwan","William F. ""Bill"" Kern",0,-2,1940
-10638,"C.C. Humphreys","Harry J. Mehre",0,-31,1940
-10638,"Herbert O. ""Fritz"" Crisler","Lynn O. ""Pappy"" Waldorf",1,7,1940
-10638,"Bernard W. ""Bernie"" Bierman","Allen H. ""Mal"" Elward",1,27,1940
-10638,"Don B. Faurot","Thomas E. ""Tom"" Stidham",0,-7,1940
-10638,"Lawrence M. ""Biff"" Jones","Charles W. Bowser",1,2,1940
-10638,"Alonaz L. ""Lon"" Stiner","Clark D. Shaughnessy",0,-14,1940
-10638,"Jess C. Neely","Homer H. Norton",0,-25,1940
-10638,"Howard H. Jones","James M. ""Jimmy"" Phelan",0,-14,1940
-10638,"Robert R. ""Bob"" Neyland","Frank J. Murray",1,27,1940
-10638,"Dana X. Bible","Leo R. ""Dutch"" Meyer",1,7,1940
-10638,"Pete W. Cawthon","Douglas Clyde ""Pea Head"" Walker",1,5,1940
-10638,"Edwin C. ""Babe"" Horrell","Orin E. ""Babe"" Hollingbery",1,8,1940
-10633,"Joseph A. ""Joe"" Meyer","Frank Wilton",1,44,1940
-10633,"Gwinn Henry","Don B. Faurot",0,-25,1940
-10633,"John E. ""Jack"" Faber","Harvey J. Harman",1,7,1940
-10633,"E. Lowell ""Dick"" Romney","Claire H. ""Okie"" Blanchard",1,16,1940
-10632,"Jack Harding","Rex Enright",0,-5,1940
-10631,"Frank W. Thomas","Harry R. ""Red"" Sanders",1,4,1940
-10631,"Miles W. Casteel","Ted E. Shipkey",0,-1,1940
-10631,"John F. ""Jack"" Meagher","Frank W. Leahy",0,-26,1940
-10631,"Morley Jennings","Madison A. ""Matty"" Bell",0,-3,1940
-10631,"Harry W. Hughes","Edwin R. ""Eddie"" Kimball",0,0,1940
-10631,"Wallace W. Wade","Williams ""Doc"" Newton",1,36,1940
-10631,"Thomas J. ""Tom? Lieb","William A. ""Bill"" Alexander",1,9,1940
-10631,"Robert C. Zuppke","Edward N. ""Eddie"" Anderson",0,-11,1940
-10631,"Alvin N. ""Bo"" McMillin","Allen H. ""Mal"" Elward",1,3,1940
-10631,"James J. ""Jim"" Yeager","Lawrence M. ""Biff"" Jones",0,-9,1940
-10631,"A.D. Kirwan","Robert R. ""Bob"" Neyland",0,-33,1940
-10631,"Herbert O. ""Fritz"" Crisler","Francis A. Schmidt",1,40,1940
-10631,"Charles W. Bachman","William F. ""Bill"" Kern",1,17,1940
-10631,"Bernard W. ""Bernie"" Bierman","Harry A. Stuhldreher",1,9,1940
-10631,"Harry J. Mehre","Allyn McKeen",0,-19,1940
-10631,"Raymond ""Bear"" Wolf","Frank J. Murray",1,3,1940
-10631,"Lynn O. ""Pappy"" Waldorf","Elmer F. Layden",1,20,1940
-10631,"Thomas E. ""Tom"" Stidham","J. Ray Morrison",1,3,1940
-10631,"Edwin M. ""Jim"" Lookabaugh","Chester ""Chet"" Benefiel",0,-13,1940
-10631,"Robert A. ""Bob"" Higgins","Charles W. Bowser",0,-13,1940
-10631,"Jess C. Neely","Leo R. ""Dutch"" Meyer",1,8,1940
-10631,"Edwin C. ""Babe"" Horrell","James M. ""Jimmy"" Phelan",0,-41,1940
-10626,"Fred C. Thomsen","Chester ""Chet"" Benefiel",1,6,1940
-10626,"Harry W. Hughes","Gwinn Henry",0,-26,1940
-10626,"Rex Enright","Douglas Clyde ""Pea Head"" Walker",0,-1,1940
-10626,"Dana X. Bible","Homer H. Norton",1,7,1940
-10625,"Jack Harding","Harry J. Mehre",0,-14,1940
-10624,"Frank W. Thomas","Allyn McKeen",0,-13,1940
-10624,"William H. Wood","Major Emery E. ""Swede"" Larson",0,-14,1940
-10624,"John F. ""Jack"" Meagher","Thomas J. ""Tom? Lieb",1,13,1940
-10624,"Morley Jennings","Jess C. Neely",0,-9,1940
-10624,"Leonard B. ""Stub"" Allison","Clark D. Shaughnessy",0,-6,1940
-10624,"Wallace W. Wade","Charles W. Bowser",1,5,1940
-10624,"Wallace Butts","William A. ""Bill"" Alexander",1,2,1940
-10624,"Hobbs Adams","Lawrence M. ""Biff"" Jones",0,-20,1940
-10624,"Bernie H. Moore","Lowell P. ""Red"" Dawson",1,14,1940
-10624,"Ted E. Shipkey","Pete W. Cawthon",1,5,1940
-10624,"Julius J. Johnston","Mack Saxon",0,-14,1940
-10624,"Gerald A. ""Tex"" Oliver","Alonaz L. ""Lon"" Stiner",1,20,1940
-10624,"Howard H. Jones","Edwin C. ""Babe"" Horrell",1,16,1940
-10624,"Madison A. ""Matty"" Bell","Leo R. ""Dutch"" Meyer",1,16,1940
-10624,"Robert R. ""Bob"" Neyland","Harry R. ""Red"" Sanders",1,20,1940
-10624,"James M. ""Jimmy"" Phelan","Orin E. ""Babe"" Hollingbery",1,24,1940
-10618,"Wallace Butts","Jack Harding",1,21,1940
-10617,"Thomas J. ""Tom? Lieb","Dana X. Bible",0,-26,1940
-10617,"Eugene ""Luke"" Gill","Leo B. Calland",1,26,1940
-10617,"Elmer F. Layden","Howard H. Jones",1,4,1940
-10617,"Jess C. Neely","Madison A. ""Matty"" Bell",0,-1,1940
-10596,"Leonard B. ""Stub"" Allison","William A. ""Bill"" Alexander",0,-13,1940
-10592,"Frank W. Leahy","Robert R. ""Bob"" Neyland",1,6,1940
-10592,"Jimmy Bradshaw","Eugene ""Luke"" Gill",1,3,1940
-10592,"Lawrence M. ""Biff"" Jones","Clark D. Shaughnessy",0,-8,1940
-10330,"Bernie H. Moore","Joe Aillet",1,25,1941
-10324,"B.L. ""Crook"" Smith","Reed Green",0,-70,1941
-10324,"Gwinn Henry","J. Ray Morrison",0,-22,1941
-10324,"Edwin C. ""Babe"" Horrell","Orin E. ""Babe"" Hollingbery",1,1,1941
-10323,"Frank W. Thomas","Johnny Cain",1,41,1941
-10323,"Miles W. Casteel","Frank W. Leahy",0,-31,1941
-10323,"Dennis E. ""Denny"" Myers","Lowell P. ""Red"" Dawson",0,-14,1941
-10323,"Joseph A. ""Joe"" Meyer","Laurie Apitz",1,21,1941
-10323,"James J. ""Jim"" Yeager","Dana X. Bible",0,-28,1941
-10323,"Wallace W. Wade","Douglas Clyde ""Pea Head"" Walker",1,29,1941
-10323,"Thomas J. ""Tom? Lieb","Allyn McKeen",0,-6,1941
-10323,"A.D. Kirwan","James R. ""Jimmy"" Kitts",1,23,1941
-10323,"Joe Aillet","Mack Saxon",0,0,1941
-10323,"Herbert O. ""Fritz"" Crisler","Charles W. Bachman",1,12,1941
-10323,"Bernard W. ""Bernie"" Bierman","James M. ""Jimmy"" Phelan",1,8,1941
-10323,"Don B. Faurot","Paul E. Brown",0,-5,1941
-10323,"Raymond ""Bear"" Wolf","Rex Enright",0,-6,1941
-10323,"Jack Sisco","Madison A. ""Matty"" Bell",0,-54,1941
-10323,"Dewey W. ""Snorter"" Luster","Edwin M. ""Jim"" Lookabaugh",1,19,1941
-10323,"Gerald A. ""Tex"" Oliver","Clark D. Shaughnessy",0,-4,1941
-10323,"Alonaz L. ""Lon"" Stiner","Justin M. ""Sam"" Barry",0,-6,1941
-10323,"Allen H. ""Mal"" Elward","Harry R. ""Red"" Sanders",0,-3,1941
-10323,"Leo R. ""Dutch"" Meyer","Henry E. Frnka",1,6,1941
-10317,"Otis Douglas","Robert Whittaker",1,8,1941
-10317,"Joe Aillet","Reed Green",0,-12,1941
-10317,"E.W. Midgett","William L. ""Gander"" Terry",0,-8,1941
-10317,"Edwin M. ""Jim"" Lookabaugh","Dell Morgan",0,-10,1941
-10316,"Frank W. Thomas","Allyn McKeen",0,-14,1941
-10316,"Miles W. Casteel","Julius J. Johnston",1,47,1941
-10316,"Fred C. Thomsen","Leo R. ""Dutch"" Meyer",0,-9,1941
-10316,"John F. ""Jack"" Meagher","Lowell P. ""Red"" Dawson",0,-32,1941
-10316,"Leonard B. ""Stub"" Allison","Orin E. ""Babe"" Hollingbery",0,-7,1941
-10316,"Frank Howard","Williams ""Doc"" Newton",1,21,1941
-10316,"James J. ""Jim"" Yeager","Don B. Faurot",0,-15,1941
-10316,"Harry W. Hughes","Bernard F. ""Bunny"" Oakes",1,27,1941
-10316,"J.O. Christian","Walter Hargesheimer",0,-2,1941
-10316,"Wallace W. Wade","John Barnhill",1,19,1941
-10316,"Wallace Butts","Rex Enright",1,28,1941
-10316,"Robert C. Zuppke","Frank Wilton",1,45,1941
-10316,"Alvin N. ""Bo"" McMillin","Frank W. Leahy",0,-13,1941
-10316,"Edward N. ""Eddie"" Anderson","Herbert O. ""Fritz"" Crisler",0,-6,1941
-10316,"Ray Donels","Lawrence M. ""Biff"" Jones",0,-14,1941
-10316,"Hobbs Adams","Lynn O. ""Pappy"" Waldorf",0,-48,1941
-10316,"Bernie H. Moore","Dana X. Bible",0,-34,1941
-10316,"Major Emery E. ""Swede"" Larson","William F. ""Bill"" Kern",1,40,1941
-10316,"Ted E. Shipkey","Mack Saxon",1,2,1941
-10316,"Paul E. Brown","Justin M. ""Sam"" Barry",1,33,1941
-10316,"Alonaz L. ""Lon"" Stiner","James M. ""Jimmy"" Phelan",1,3,1941
-10316,"Charles W. Bowser","Allen H. ""Mal"" Elward",0,-6,1941
-10316,"Clark D. Shaughnessy","Edwin C. ""Babe"" Horrell",1,33,1941
-10310,"Wallace Butts","Harry J. Mehre",0,0,1941
-10309,"Miles W. Casteel","James W. ""Jim"" Aiken",1,19,1941
-10309,"Millard F. ""Dixie"" Howell","Ted E. Shipkey",0,0,1941
-10309,"Fred C. Thomsen","Frank H. Kimbrough",0,-13,1941
-10309,"John F. ""Jack"" Meagher","Joe Aillet",1,34,1941
-10309,"Dennis E. ""Denny"" Myers","Frank Howard",0,-13,1941
-10309,"Robert Whittaker","Frank Wilton",1,9,1941
-10309,"James J. ""Jim"" Yeager","E. Lowell ""Dick"" Romney",1,6,1941
-10309,"Wallace W. Wade","John E. ""Jack"" Faber",1,50,1941
-10309,"William A. ""Bill"" Alexander","Frank W. Leahy",0,-20,1941
-10309,"Robert C. Zuppke","Bernard W. ""Bernie"" Bierman",0,-28,1941
-10309,"Alvin N. ""Bo"" McMillin","Leo R. ""Dutch"" Meyer",0,-6,1941
-10309,"Gwinn Henry","Lawrence M. ""Biff"" Jones",0,-32,1941
-10309,"Hobbs Adams","Don B. Faurot",0,-35,1941
-10309,"A.D. Kirwan","Harry R. ""Red"" Sanders",0,-24,1941
-10309,"Bernie H. Moore","Allyn McKeen",0,0,1941
-10309,"Cam Henderson","Clarence W. ""Doc"" Spears",1,26,1941
-10309,"Herbert O. ""Fritz"" Crisler","Charles W. Bowser",1,40,1941
-10309,"Lynn O. ""Pappy"" Waldorf","Harry A. Stuhldreher",1,27,1941
-10309,"Don Peden","William L. ""Gander"" Terry",1,13,1941
-10309,"Dewey W. ""Snorter"" Luster","Dana X. Bible",0,-33,1941
-10309,"Gerald A. ""Tex"" Oliver","Justin M. ""Sam"" Barry",1,14,1941
-10309,"Alonaz L. ""Lon"" Stiner","Clark D. Shaughnessy",1,10,1941
-10309,"Jess C. Neely","Lowell P. ""Red"" Dawson",1,1,1941
-10309,"Rex Enright","Douglas Clyde ""Pea Head"" Walker",0,0,1941
-10309,"Ike J. Armstrong","Bernard F. ""Bunny"" Oakes",1,54,1941
-10309,"James M. ""Jimmy"" Phelan","Orin E. ""Babe"" Hollingbery",1,10,1941
-10303,"B.L. ""Crook"" Smith","Albert Choate",0,-25,1941
-10302,"Otis Douglas","Don Peden",0,0,1941
-10302,"Frank W. Thomas","John Barnhill",1,7,1941
-10302,"Miles W. Casteel","Ted E. Shipkey",1,25,1941
-10302,"Millard F. ""Dixie"" Howell","Julius J. Johnston",1,5,1941
-10302,"Fred C. Thomsen","Dana X. Bible",0,-34,1941
-10302,"John F. ""Jack"" Meagher","Madison A. ""Matty"" Bell",0,-13,1941
-10302,"John Magnabosco","Ron Finch",0,-1,1941
-10302,"Robert Whittaker","Elton J. Rynearson",1,14,1941
-10302,"Leonard B. ""Stub"" Allison","Gerald A. ""Tex"" Oliver",0,-12,1941
-10302,"James J. ""Jim"" Yeager","Harry W. Hughes",1,13,1941
-10302,"Thomas J. ""Tom? Lieb","John E. ""Jack"" Faber",0,-1,1941
-10302,"Jimmy Bradshaw","James W. ""Jim"" Aiken",1,3,1941
-10302,"William A. ""Bill"" Alexander","Harry R. ""Red"" Sanders",0,-7,1941
-10302,"Alvin N. ""Bo"" McMillin","Lawrence M. ""Biff"" Jones",1,8,1941
