"Coach","Year","Rating","Rank"
"Bobby Johnson",2006,1439.88953239021,119
"Bobby Johnson",2007,1446.22471888358,131
"Bobby Johnson",2008,1487.5669786098,102
"Bobby Johnson",2009,1425.75694434905,174
"Bobby Ross",2005,1479.83006463507,88
"Bobby Ross",2006,1423.84832420808,126
"Bobby Wallace",2005,1405.9682425431,123
"Bobby Wilder",2009,NA,NA
"Bobby Wilder",2010,1510,77
"Bobby Wilder",2011,1514.47324771528,74
"Bobby Wilder",2012,1507.82464276299,97
"Bobby Wilder",2013,1476.33346721054,205
"Bobby Wilder",2014,1475.42988534244,224
"Bobby Wilder",2015,1453.56710970443,270
"Brad Lambert",2013,NA,NA
"Brad Lambert",2014,NA,NA
"Brad Lambert",2015,1409.21944635174,312
"Brad Wright",2007,1489.09164233986,92
"Brad Wright",2008,1483.74879710239,104
"Brad Wright",2009,1481.03131312188,116
"Brad Wright",2010,1477.26052149216,139
"Brady Hoke",2005,1477.17338613863,91
"Brady Hoke",2006,1472.61668929281,92
"Brady Hoke",2007,1495.84546934697,84
"Brady Hoke",2008,1562.10260283587,29
"Brady Hoke",2009,1492.76921671144,95
"Brady Hoke",2010,1537.54340959521,47
"Brady Hoke",2011,1612.87489099637,16
"Brady Hoke",2012,1606.99397233921,21
"Brady Hoke",2013,1579.22392914954,32
"Brady Hoke",2014,1535.64745058483,65
"Brent Guy",2005,1453.75470480926,105
"Brent Guy",2006,1384.81083830444,135
"Brent Guy",2007,1370.69745313589,160
"Brent Guy",2008,1380.73143329222,167
"Bret Bielema",2006,1588.56798897004,14
"Bret Bielema",2007,1585.40411700495,21
"Bret Bielema",2008,1550.10377588338,35
"Bret Bielema",2009,1582.24369527513,21
"Bret Bielema",2010,1627.88711535015,10
"Bret Bielema",2011,1649.85270368394,9
"Bret Bielema",2012,1603.46840972544,22
"Bret Bielema",2013,1513.39339023074,94
"Bret Bielema",2014,1529.38137105793,74
"Bret Bielema",2015,1557.4329115874,45
"Brian Cabral",2010,1489.05771296045,115
"Brian Kelly",2005,1509.86586691586,51
